View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1",City,State,Zip,Capabilities Narrative
201,FARWEST PAINT MANUFACTURING CO.,JARVIE PAINT DIVISION,MICHAEL HUBER,,4522 S 133RD ST,TUKWILA,WA,98168-3251,"Family-owned paint and coatings manufacturer. Wholesale and retail operations. Wood stain, Marine, Industrial"
202,JPI Worldwide Inc.,,Jarel Pittman,,2310 N Swing Ln,Liberty Lake,WA,99019-5215,
203,Peninsula Heat Inc,,Renee Armacost,,782 KITCHEN DICK RD,SEQUIM,WA,98382-7578,"Like any small town, if you want to know how to get something done right on the peninsula, just ask your friends and neighbors. If it's about the comfort and air quality in your home, Peninsula Heat, Inc. is confident that we can meet your needs, budget, and time-frame. If you're in need of maintenance on your heating system, we can help with that too! We service all major brands of HVAC equipment including: Trane, Carrier, Amana, Rheem, Lennox, Daikin, Fujitsu, Mitsubishi, Coleman, Goodman, Intertherm, & York. We would be happy to take care of your heating needs, and for the best rate in town!"
204,Swedberg Contracting Corp.,,ADAM Swedberg,,6176 B Hway 291,Nine Mile Falls,WA,99026-9572,
205,"Eastside Saw & Sales, Inc.",,SUSAN J BEETHAM,,12880 Bel Red Rd Ste 1,Bellevue,WA,98005-2695,Sharpening metal and wood cutting blades sell wood and metal cutting tools CNC manufacture custom bandsaws
206,"BNL Technical Services, L.L.C. ",BNL Tech ,Wilson P Stevenson,Owner,3250 Port of Benton Boulevard,Richland,WA,99354-1670,"BNL Technical Services, LLC provides a broad range of Engineering, Technical Support, Safety, Health, and Environmental services. Short term, or long term, we are committed to providing quality services at the most cost effective and reasonable price."
207,"Chinook Properties, Inc.",Chinook Contractors,KELLY  J Clark,President,10661 Old Frontier Rd Nw Ste 231,Silverdale,WA,98383-8577,"Provide general contractor services and general construction services such as wood frame construction, concrete work, utility and excavation work."
208,"Business Radio, Inc. ",Columbia Communications ,William A Holesworth,,205 N Volland St,Kennewick,WA,99336-2268,Two-Way radios/systems sales and service. Wireless Communications. Familiar with needs of the Public Safety providers.
209,"DJ-BLAKE'S CONSTRUCTION, INC",,PAUL  BLAKE,,13739 RAWLINS RD,MOUNT VERNON,WA,98273-7132,"Skilled operations in: River Restoration, Shoreline repair, Bank armoring, Engineered log jams, Rock & log placement, Gravel road building/maintenence, Retention ponds, Site prep, Project management, Erosion control"
210,"Dillio, Inc",Action Man Plumbing,Kelly Bell,,397 Klondike Rd,Republic,WA,99166-9745,"Dillio Inc. DBA Action Man Plumbing is a plumbing company based out of Republic, WA. We specialize in plumbing , gas piping and new construction plumbing. We are licensed, bonded and insured. To view more on our Federal Contracting please visit Fedlinks DILLIO, INC ."
211,"SAYBR CONTRACTORS, INC.",,KAREN SAY-VALADEZ,President,3852 S 66TH ST,TACOMA,WA,98409-2408,"Saybr Contractors, Inc. is a full-service general contractor with more than two decades of experience performing vertical and horizontal construction throughout the Pacific Northwest. Saybr maintains four divisions, including a Building Division for private commercial building construction, a Petroleum Division, which specializes in fuel system construction, a Job Order Contracting Division, which completes multi-year public works projects, and a Federal Division, which focuses on civil and building construction for Federal agencies. Saybr’s mission is to build long-term relationships through the delivery of exceptional projects."
212,"SILEX INVESTMENTS, LLC",YAKIMA STEEL,John A Gehlsen,,6 E WASHINGTON AVE,YAKIMA,WA,98903-1617,Full service structural steel and rebar fabricator. Full service machine shop. Metal service center. Construction supply.
213,PLATEAU GEOSCIENCE GROUP LLC,,Mavis D Kent,,611 NW 5TH AVE,BATTLE GROUND,WA,98604-8059,"Geophysical surveys, ground penetrating radar, environmental investigation and remediation, landfill closure and monitoring, site investigation for property development or engineering projects, stormwater engineering and management, stormwater treatment design and installation, stormwater compliance, environmental permitting and compliance, environmental media sampling, database development and management, project management, small business certified subcontractor."
214,"Cestusline, Inc.",,Kyong Choi,,603 SE Victory Ave Bldg 46 Ste 100,Vancouver,WA,98661-8203,"W/O, Minority Owned, SDB. Variety of gloves designed for: Forestry, Mining, Construction, Refining, Impact Tools. With our patented designs and innovative materials we provide gloves that are hard-wearing, long lasting, and comfortable to wear all day."
215,"Integrity Nurse Consultants LLC, The",,LYLIA NICHOLS,,17915 36th Ave E,TACOMA,WA,98446-1309,"Consulting, healthcare management, behavioral health, pediatric research, case management, patient advocacy, legal consulting"
216,BAVARIAN MEAT PRODUCTS INC,,LYNN Hofstatter,,2934 WESTERN AVE,SEATTLE,WA,98121-1021,
217,"TRAINOR ENTERPRISES, LLC",WESTERN STATES CONSTRUCTION,Dennis F Trainor,MANAGER,4004 E NEBRASKA AVE,SPOKANE,WA,99217-6629,GENERAL CONTRACTOR-COMMERCIAL
218,"Newton Research Labs, Inc",Newton Labs,John W Bramblet,,441 SW 41 ST,Renton,WA,98057-4926,"Manufacturer of non-contact sophisticated inspection equipment, underwater applications, scanners with 3-D mapping information, research and development for many stereo vision and machine vision camera applications; provide nuclear outage support for core mapping and underwater tank inspection;detects irregularities and defects in whatever robot inspector is scanning, sends information back to controller for 3-D imaging;manufactures T-DAR® anti-tailgating security hardware and software;training,quality control, defect detection, navigation, guidance, aeronautical, nautical,quality control and inspection tires and tubes"
219,PRETTYMANS SEPTIC SERVICE,,Robert E Prettyman,,4529 WHITTIER RD,CLAYTON,WA,99110-9739,Septic Pumping Portable Toilets Greywater Pumping Handwash
220,"Pipe of Washington, Inc.",POW Contracting,DALE AINSWORTH,,1100 E Columbia St Ste B4,Pasco,WA,99301-4355,
221,"B.R. MANAGEMENT SERVICES, INC.",,ROBERT G RETTIG,,2187 HAMMOND AVE,DUPONT,WA,98327-9771,"postal service, landscaping service, custodial service, and food service contractor, security guard"
222,"AEGIS ENGINEERING, PLLC",AEGIS ENGINEERING,Lou-Anne Caldwell,,13024 BEVERLY PARK RD STE 202,MUKILTEO,WA,98275-5857,"AEGIS Engineering supports design teams, local authorities, and building owners with targeted innovative professional fire protection engineering and building code consulting solutions to life safety concerns encountered during project design, review and inspection."
223,"Mountain Dog Sign Company, Inc.",,Steven Kempf,,"1620 N Mamer Rd, D100",Spokane Valley,WA,99216-3722,"Team of graphic designers and sign makers, skilled to tackle the full range of signage, including lobby signs, directional signage, tradeshow exhibits, interior commercial art and wall vinyl, wide-format digital printing, as well as vehicle graphics."
224,Therapeutic Dimension Inc,RangeMaster Shoulder Therapy,ROB ALLEN,,319 W HASTINGS RD,SPOKANE,WA,99218-5012,"Therapeutic Dimensions manufactures rehab products for shoulder patients. We specialize in shoulders, offer 27 products to provide veterans with quality, low cost shoulder products that may help eliminate the need for surgery and reduce medical costs."
225,"NOR-WEST HYDRAULIC & PNEUMATIC, INC.",,Jared Mira,President,7467 Hannegan Rd,Lynden,WA,98264-9423,"Hydraulic & Pneumatic Service, Engineering & Design, Inspections & Consultations, Oil Refinery Specialists, Marine Loading Arms, Dock & Lift Repair, Hydraulics & fluid power parts, motors, pumps, cylinders, seals, hose, fittings, adaptors, valves (custom). Stainless tubing fabrication, Filtration equipment, vacuum dehydrator, Oil & Fuel Analysis, Oil tanker repair"
226,"JUMPSTARTCSR, INC.",,George Gosieski,,4305 NE 75th St,Seattle,WA,98115-5100,"Combine cognitive computing and wearable devices to predict and prevent musculoskeletal injuries; accelerate rehabilitation; improve performance; autonomously design and manufacture personalized ergonomic products such as orthotics, sport equipment, tools based on user data; and connect health and fitness professionals with users to provide integrated population health management."
227,"PRR, Inc.",,BJ Foster,,1501 4th Ave Ste 550,Seattle,WA,98101-3234,"With offices in Seattle and Washington DC, our award-winning staff has directed thousands of marketing, media and community relations, graphic design, web development, research and public policy programs. For more information visit our website at https://www.prrbiz.com/"
228,"ORDERS ASSOCIATES RESEARCH SYSTEMS, LLC",,DAVID A Orders,,7420 229TH STREET SW,EDMONDS,WA,98026-0000,"Oceanographic Equipment rental, mooring construction, deployment, and recovery, data reduction and processing"
229,Hmg LLC,,ROBERT Holt,,19043 Front St NE,Poulsbo,WA,98370-7354,
230,Renton Coil Spring Company ,,Jonathan Rollins,Sales Rep,425 S 7th St,Renton,WA,98055-2504,"spring engineering, compression, torsion, extension, coil, flat, titanium, stainless, 300 series, inconel, automatic coiler, cnc coiler, cnc spring generator, cnc mandrel coiler, multi slide, four slide, cycle testing, cnc load testing,"
231,"AMERICAN ELECTRICAL SERVICES, INC.",,JEFF MONEY M MONEY,,386 S A St,Buckley,WA,98321-0000,Electrical Contractor
232,SEACOMM ERECTORS INC,,Ken Johnson,,32527 STATE ROUTE 2,SULTAN,WA,98294-8658,
233,"BLACKWATER MARINE, LLC",,Malinda Lulham,Office Manger,12019 76TH PLACE N E,KIRKLAND,WA,98034-2437,Blackwater Marine is an alaskan based llc that specializes in diving and marine construction world wide.
234,Agilis LLC,Agilis Technology,Doug Jacot,,26139 UNITED RD NE,Kingston,WA,98346-8481,"Expert mist elimination designers and fabricators. Also weld, bend, cut aluminum and steel on a custom basis. Manufacture of polypropylene mist eliminators, and mesh pads."
235,SUPREMO LLC,,Sahil Singh,,23425 SE BLACK NUGGET RD APT G102,ISSAQUAH,WA,98029-6933,We provide reliable and affordable software solutions. Also Provide software support and maintenance.
236,"640 Acres, LLC",,Wade R Jost,,3302 Harborview Dr Ste A,Gig Harbor,WA,98332-2193,
237,"Womer And Associates, Inc. ",,Rick J Mathews,Vice President,221 N Wall St Ste 600,Spokane,WA,99201-0826,"Architectural and engineering (civil, structural, mechanical, electrical); Planning. Construction administration. Fire Safety."
238,THOMPSON REAL ESTATE SERVICES COMPANY,NCW Appraisal,Laura Thompson,,508 KING ST,WENATCHEE,WA,98801-2848,
239,PCI Pest Control Inc.,,Matt A Purcell,,2812 Pacific Ave SE,Olympia,WA,98501-2039,"Pest Control Services, Pesticide Application for Extermination of termite, ant, cockroach, spider, bee, wasp, bedbug, flea, fly, rodent, mouse, rat, bird control. Herbicide application for vegetation & weed management, right of way, tree & shrub spraying"
240,XL Sci Tech Inc ,,Yongren Ben Peng,Vice President,3100 GEORGE WASHINGTON WAY STE 3,RICHLAND,WA,99354-1663,"microsphere beads glasses fabrication, data analyses, glass specialty research and manufacturing, composite research and manufacturing"
241,"LIND INDUSTRIES, INC.",Lind Laundry Systems,NEIL R LIND,,1510 NW 46TH ST,SEATTLE,WA,98107-4709,SALES AND SERVICE OF INDUSTRIAL LAUNDRY EQUIPMENT AND COMMERCIAL LAUNDRY EQUIPMENT
242,LAKES BODY SHOP INC,,KENNY HASKINS,,4724 STEILACOOM BLVD SW,TACOMA,WA,98499-4005,Full service auto body repair facility.
243,Fidalgo Aeronautical Services LLC,Fidalgo Aeronautical Services,Brian S Farley,,4301 Kingsway,Anacortes,WA,98221-3287,"Provide experience pilots, aircrew and maintenance personnel for complex aviation needs including aerial survey, flight testing and logistics. Worldwide experience including Basler DC03TP ski-equipped aircraft."
244,"Trusted Trade Alliance Management & Consulting, Inc.",,Bryce Blegen,,4400 Ne 77th Ave Ste 208,VANCOUVER,WA,98662-6829,Provider of consulting and training in the fields of trade and export control requirements
245,"US Archive And Imaging Services, Inc.",US Archive & Imaging Services,Noreen F Plath,,2961 222ND PLACE SOUTHEAST,SAMMAMISH,WA,98075-7146,A Veteran Owned document management solutions provider with 'End to End' solutions for digitizing paper & microfilm documents. Unique national scope with AbilityOne partners. Software & 'Cloud' solutions to access information. Consulting & scanner sales.
246,Dean Alan Architects PLLC,,ANGELA  GEE,,1511 3RD AVE STE 805,SEATTLE,WA,98101-1689,"Full service, woman owned design firm, providing architectural services, including site planning, program development, building design, construction administration, and interior design. The firm has over 25 years of experience designing for a variety of building types, including: •Commercial - Retail, Offices, Commercial Kitchens, Restaurants • Medical - Medical/Dental Offices • Public - Public Adminstrative Buildings, Safety Facilities, Courthouses, etc. • Residential - Single and Multi-Family • Airport Terminals"
247,"DIVISIONAL SEPARATION, LLC",,Geoff Walker,,2167 VALLEY RD NE,MOSES LAKE,WA,98837-7634,"Electrical Engineering, Cost Consultancy, Project Management Professional, LEED AP, Construction Management, Risk Management"
248,"International Aerospace Coatings, Inc.",,Dave Patterson,,5709 W Sunset Hwy Ste 205,Spokane,WA,99224-9442,Aircraft Refinishing
249,"Zepher Flight Laboratories, Inc.",,Adam Stolz,,310 S Larch St,Bingen,WA,98605-8908,"Zepher Flight Laboratories (ZFL) is focused on the development of unmanned aerial systems (UAS) with improved the endurance, acoustic signature, operator utility in austere environments, and manufacturability"
250,"Custom Mechanical Services NW, LLC",Custom Mechanical Services NW,Valerie Higley,,26419 NE 10th Ave,Ridgefield,WA,98642-8784,
251,DESAUTAL HEGE COMMUNICATIONS & MARKETING,,Tyler Tullis,,315 W RIVERSIDE AVE STE 200,SPOKANE,WA,99201-5016,"Public Relations & marketing Consulting, training, including video production, writing, and graphic design."
252,"SUPERIOR LOGISTICS, LLC",,Andrey Mikhay,,4225 NE 9TH CIR,RENTON,WA,98059-4570,Superior Logistics LLC is a full services transportation logistics company whom provides general and specialized freight movement across entire U.S and Canada. We have provided our services to the military all across the U.S since 2012.
253,Pavement Maintenance Of Washington LLC,,Erin Button,,19411 SE Green Valley Rd.,Auburn,WA,98092-1590,"Asphalt Paving, Concrete"
254,Temporal Defense Systems Inc,,Mark Tucker,,15435 Ne 92nd St,Redmond,WA,98052-3516,"Temporal Defense Systems is engineering an improved technology security paradigm. TDS technologies will measurably and cost-effectively improve cyber security through the normal technology refresh cycle. Over time, the incremental adoption of the new TDS cyber security paradigm will transform the entire technology environment to a safer future. Temporal Defense Systems’ Cyber Suite is comprised of a variety of products (hardware and software) designed to provide clear and substantial advancement in cyber security individually and capability multipliers when used in combination. Manufacturers and developers will be able to make safer design decisions, and businesses and consumers will be able to make safer purchasing decisions. The result will be positive behavioral changes that will help reduce cyber risk even in the face of a growing threat environment. Visit us at http://temporaldefense.com to learn more bout how TDS can assist your company."
255,"Abriss Corp, Inc.",,Allen J Kemp,,14710 NE 319 St,Battle Ground,WA,98604-8719,"Working capabilities include;Installation of 11' 6' pipe, all utilities, emergency response work in and around environmentally sensitive area, bank & waterline restoration & stabilization, land slide repair,trails, roadway surfaces, bridges, demolition."
256,OMEGA LABS INC.,,Mary Oemig,,10916 101ST PL NE,KIRKLAND,WA,98033-4418,We provide a platform and marketplace for self-grading digital learning Boom Cards. We are a sole source provider for these educational supplements for K-12.
257,TANZ MECHANICAL INSULATION LLC,,SEAN  P TANSY,,29 E 27TH AVE,SPOKANE,WA,99203-2430,
258,"CLIPEUM, LLC",U.S. Federal Security Agency,Austin Gregory,,22611 14TH PL W,BOTHELL,WA,98021-9438,"The U.S. Federal Security Agency operates under authority granted by 18 U.S.C., Washington Federal Code Title 2-210, Title 9A, Crimes Against The Public Administration; 18 U.S.C. §2332f Federal Jurisdiction over Critical Infrastructure (e)(3)(5)(6)(10) Security Forces Acting As Police on Federally Controlled Properties and WA RCW 18.170.  We provide high visibility, armed patrol services, with arrest capabilities for all Title 18 Properties deemed Critical by PPD-21"
259,68J Medical LLC,,VEGAS WANG,,14805 68th Ave E,Puyallup,WA,98375-7004,"Millions of Surgical masks, FDA EUA approved KN95 respirator, Protective Gown, gloves, isolation face shield, isolation eye wears."
260,"CONTINUANT, INC.",,Samuel Mosier,,5050 20TH ST E,FIFE,WA,98424-3437,"As a global managed services provider, Continuant is committed to achieving our customers' business communications objectives. From maintenance and support for legacy systems to managing complex unified communications solutions, Continuant provides service plans that deliver proven results along with an outstanding customer experience. We build long-lasting partnerships and collaborate with our customers to identify their unique needs, then work collaboratively to implement innovative solutions. We call it The power of choice®. Continuant has an unparalleled track record of service for over 20 years. Continuant has been serving the enterprise with OEM-independent managed services, maintenance, and support of voice and data systems. It has always been our mission to provide efficient, customer-focused, and cost-effective services to support voice and data equipment from multiple manufacturers."
261,"Plantscapes, Inc.",Holidayscapes,TERRY L POSNER,,1127 Poplar Pl S,Seattle,WA,98144-2833,"Interior and exterior landscape maintenance in the greater Seattle area, along with related irrigation services"
262,V-Data,V-Data,THOMAS E Brown,owner/engineer,196 Pine Forest Rd,Goldendale,WA,98620-3307,"Manufacturer of video data and time insertion equipment, IRIG-B timecode generators, precision timers and sequencers, projectile scoring system, video distribution amplifiers, GPS and moving map, video distribution amplifers, muzzle flash detectors."
263,"Clearcreek Contractors, Incorporated",,Mark McCullough,,3203 15TH ST,EVERETT,WA,98201-1906,
264,"Cougar Den, Inc",,Kyle Curtis,Manager/Owner,620 Signal Peak Rd,White Swan,WA,98952-0000,"Cougar Den, Inc. is a licensed Yakama Nation Business and has over 40 years of knowledge and experience in tribal business. We are a full -service petroleum and propane distributor. We handle the logistics of the entire fuel operation, so you do not have to worry about the day-to-day ordering of fuel. We have an outstanding staff of over 30 plus employees with 16 of those dedicated to our fuel operations."
265,"Westar Medical Products, Inc.",,Ruth E. Haller,,18930 59TH AVE NE,ARLINGTON,WA,98223-8763,"Manufacture Dental Equipment for general practice, orthodontic, and oral surgery clinics."
266,"Fairmount Holdings, Inc.",Heritage Funeral Home and Crematory,Sandra Walker,,508 N Government Way,Spokane,WA,99224-5272,"We are committed to providing the highest standards in quality, caring & sensitive service at the best value to each family we serve. We have an on-site crematory. When it comes to cremation care, we care for all of your family’s needs in one place."
267,SOLECTRIC LLC,,Sareena J Presnell,,810 200th St NE,ARLINGTON,WA,98223-5541,"Residential, commercial, industrial, solar, utility electrical work"
268,"EGM, Inc., P.S.",Meng Analysis,Sarah Partap,,2001 Western Ave Ste 200,Seattle,WA,98121-2114,
269,"Holmes Mechanical, Inc.",,Caleb  Holmes,,5210 SINCLAIR WAY,BREMERTON,WA,98312-4613,"Provide Plumbing, Mechanical, HVAC,Industrial and Process Piping for New Construction and Renovations."
270,LEEWENS CORPORATION,,KURT  WIESENBACH,,630 7TH AVE,KIRKLAND,WA,98033-5665,
271,"Lynne, Michael D",Practical Trauma,Michael Lynne,,624 S Lander St Ste 20D,Seattle,WA,98134-2009,
272,"Software Revolution Incorporated, The",TSRI,GREGORY B.  TADLOCK,Director of Sales,11410 NE 122ND WAY STE 105,KIRKLAND,WA,98034-6927,"TSRI's artificial intelligence-based technology called JANUS Studio® provides a service for the automated modernization and documentation of application languages and databases into modern languages such as C++, C#, VB.Net or Java and J2EE, and many more."
273,CloudCasters,,MICHAEL J Vejar,,7113 NE 148th Ct,Vancouver,WA,98682-4519,"Manufacture Mobile Voice and Wireless Data Solutions. Deployments for and in disaster areas, fires zones, or large public areas requiring fixed or temporary Hi-Speed Satellite internet feeds for first responders or the public"
274,"LUMMI NATION CONSTRUCTION COMPANY, LLC",,MARIO GONZALEZ,,2616 KWINA RD,BELLINGHAM,WA,98226-9291,"Commercial and Industrial Buildings, Design-Build, Demolition & Remodel, Tilt-ups, Office Buildings, Educational Facilities, Single & Multi-Family Housing, Maintenance, Construction Management, IDIQ Contracts, MATOC, Project Management, Cultural Resources"
275,"James A. Wright Construction, LLC",,JAMES  A Wright,,19108 Francis Ln,Winthrop,WA,98862-9783,"Septic design, sptic pumping, portable restrooms, excavation, gravel hauling, water lines, septic system installation."
276,"SBC GLOBAL CONSULTING, LLC",,Sterling K Carter,,12905 NE 56TH ST,VANCOUVER,WA,98682-2288,"SBC Global Consulting, LLC helps organizations maximize productivity by reducing waste, driving cost effectiveness, and building lasting relationships between stakeholders. We are a domestic company with global perspectives."
277,"PAROSCIENTIFIC, INC.",,Paul Migliacio,Director of Marketing,4500 148TH AVE NE,REDMOND,WA,98052-5194,"MANUFACTURER OF HIGH ACCURACY DIGITAL PRESSURE SENSORS. PRODUCTS INCLUDE: BAROMETERS, TRANSDUCERS, TRANSMITTERS, DEPTH SENSORS, PORTABLE STANDARDS, FIBER-OPTIC SYSTEMS, PRESSURE COMPUTERS & WATER STAGE SENSORS. FEATURES .01% ACCURACY, 1 PART PER MILLION R"
278,CONTINUUM OFFICE ENVIRONMENTS LLC,,Israel  Guerrero,,720 N FANCHER ROAD,SPOKANE VALLEY,WA,99212-1053,"Continuum Office Environments, LLC offers customers a diverse package of industry-leading, manufactures and can meet the broadest expectations for any environment. With years of design expertise, we look forward to creating a vibrant space for your agency or company. We are dedicated to customer satisfaction, from purchase to install and are committed to industry-leading performance. In our evolving healthcare environments, partnership with an experienced and knowledgeable firm is essential. Continuum Office Environments, LLC exceeds patient, family and caregiver expectations in any healthcare space. Continuum Office Environments, LLC has worked with many regional schools, creating showcase learning environments. We specialize in contract sales and support educational contracts for every school."
279,MAGELLAN ASSOCIATES PLLC,MAGELLAN ARCHITECTS,PEDRO  Castro,Office Manager,8383 158TH AVE NE STE 280,REDMOND,WA,98052-3862,Architectural design services from preliminary feasibility studies through construction documents and construction administration
280,"Dye Management Group, Inc",,William Dye,,601 108TH AVE NE STE 1900,BELLEVUE,WA,98004-4376,"Dye Management Group, Inc. provides business improvement, information technology, and policy and planning consulting services. Our expertise crosses transportation-specific functional areas and supports initiatives across all government agencies."
281,Bristol Construction Services LLC,,Travis Woods,,1800 4th St Ste D,Marysville,WA,98270-5044,"Civil & structural engineering, civil & vertical construction, environmental remediation, fuel systems, range, and unexploded ordnance response throughout the US and select OCONUS locations. A spectrum of services for public and private sector clients."
282,"Newcore Aviation, LLC",Newcore Aerospace,Roscoe Sharp,,110 West Crawford St Unit G,Deer Park,WA,99006-5185,We manufacture improvements to manned as well as UAV/UAS type aircraft. We build specialty UAV/UAS type aircraft. We also provide UAV/UAS flight services. We provide aviation (manned and unmanned) prototyping services.
283,"All Things Drywall & Construction, LLC",,Matthew P Peters,,6010 Pimlico Dr,Pasco,WA,99301-6035,Steel stud and drywall contractor. General const. services
284,"Sno Valley Process Solutions, Inc.",,Andrea Contenta,,2420 38th St Ste A,Everett,WA,98201-5309,"Commercial/industrial HVAC/refrig maint, repair, install. Svcs incl: custom skids; multi-tier maintenance; 24/7 emergency svc; rental equip supply/install; chiller svc & repair, chiller retubes/overhauls - incl centrifugal & absorber; ammonia svc/repair, compressor rebuilds"
285,"HILL MOVING SERVICES, INC",,FRANCES HILL,Operations Manager,26394 NW PIONEER WAY,POULSBO,WA,98370-9424,RELOCATION AND HOUSEHOLD GOODS STORAGE
286,"Mitch Gray, Inc.",,MITCH  GRAY,,510 W 16th St,Port Angeles,WA,98362-7537,"FORESTRY,STORM DAMAGE CLEAN UP,FISHERIES ENHANCEMENT,TRUCKING,RECLAMATION,DEMOLITION, ROAD MAINTANING"
287,LANGUAGES PRO LLC ,,Muhammed T Memon,,701 5th Ave Ste 4200,Seattle,WA,98104-7047,"Languages Pro, LLC is a Seattle, WA based translation agency that provides high-quality translation services and interpreter resources in over 120 languages. With the network of over 2500 translators worldwide we can provide the translation services round the clock. Languages Pro has been providing translation services to individuals and corporations in different verticals. We can also work with you on projects with compressed timelines and tight deadlines. Working with network of our translators we can turn your documents quickly without sacrificing quality. We focus on our client’s satisfaction and comfort level at all times. The key to our success is our ability to combine technology with linguistic capability to provide fast, quality service with competitive pricing."
288,Trophies2go.com Inc,TROPHIES2GO.COM,Jessica T Anderson,,933 Thomas Ave SW,Renton,WA,98057-2931,"Since 1987, Trophies2Go has been offering high quality corporate awards, sports trophies, customized office supplies, engraved signs and personalized gifts to our customers. Our goal is to make your organization look good, with a cherished award that stands the test of time."
289,"DAHL ELECTRIC, INC.",,CHRIS DAHL,,521 E VICTORIA AVE,BURLINGTON,WA,98233-1241,"General electrical installations, repairs, service. Available 24/7/365. Design services. Solar installations. Energy retrofits. Motor controls. Communications and low-voltage. Thermal Imaging."
290,HOBART MACHINED PRODUCTS INC,,LARRY  Brester,,28819 SE 208TH ST,HOBART,WA,98025-0000,"AS9100-ISO registered, Dept of State registered, United States/Canada Joint Certification"
291,Har Whit Company LLC,,Douglas Roulstone,,2114 157th Ave Se,Snohomish,WA,98290-4710,"HAR WHIT COMPANY LLC is able to supply COVID-19 Test Kits and other COVID-19 supplies including gloves, N95 masks, swabs, COVID-19 testing devices from sources in South Korea. Delivery times in 2-3 weeks from PO receipt. FDA EUA approved for tests kits."
292,"Biosonics, Inc.",,Beverly G Acker,Director for Marketing & Sales,2356 W COMMODORE WAY UNIT 110,SEATTLE,WA,98199-1258,"Scientific Echo Sounders for data collection, analysis, asessment of aquatic & marine environments. Fish & behavior, suberged vegetation, bottom characteristics, bathymetry. Equipment manufacturing and consulting for aquatic and marine habitats."
293,"Westek Marketing, LLC",WesTek Marketing,Jesse J Enfield,President,7415 W RIDGECREST AVE,NINE MILE FALLS,WA,99026-8620,"Service, installation and support of Digital Logging Recorders, AM Broadcast Stations, Automated Notification Systems, Radio communications command and control, IP radio communications, Radio interoperability, 911 Telephone systems."
294,OES Inc,ORION LABORATORIES,NELSON  MILES III,,34004 9TH AVE S STE A5,FEDERAL WAY,WA,98003-6737,"Servicing a network of more than 350 clients, OES provides a broad-based consulting services for major institutional clients and leading companies in manufacturing, real estate, aviation, health care, finance, and insurance. Representative government institutional clients we consult for include: Department of Defense, United State Postal Services, Veterans Administration, Federal Aviation Administration, and Department of Transportation. Our staff of professionals includes Certified Industrial Hygienists, Industrial Hygienists, Environmental Scientists, Industrial Hygiene Technicians, Chemists, Construction Managers, and Laboratory Analysts. Within our qualified personnel, each maintain accreditations of AHERA Building Inspectors, Management Planners and Project Designers; Asbestos Abatement Supervisors; Lead-based Paint Inspectors and Risk Assessor, and NIOSH 582 Asbestos Dust Analysis"
295,"Keyhole Security, Inc.",,David M Langlois,,708 S WENATCHEE AVE,WENATCHEE,WA,98801-3072,"CERTIFICATIONS:NFPA, NBFAA, WBFAA, NCHBA, SAVTA, Hirsch, DSC, GE/Kalatel & more〡Keyhole Security is fully licensed, certified and bonded to provide locksmith and electronic security services for residential, commercial and industrial applications 〡http://keyholesecurity.com/site/"
296,"COLE INDUSTRIAL, INC.",,DAVID COLE,,5924 203RD ST SW,LYNNWOOD,WA,98036-6284,"Cole Industrial provides new product sales, parts, rentals, rebuilds and service for boilers, burners, combustion equipment, feed water equipment, water treatment, stacks, and heat generating equipment. Cole can also provide ASME weld repair service."
297,"Wagaman, Kortne N ",,Kortne Wagaman,,13310 W Whitetip Ave,Airway Heights,WA,99001-5073,"Religious education programs with over 8 years of experience, and also coordinated vacation bible school programs."
298,CanCure LLC,Canzx Biotherapeutics,Jennifer Wu,,14232 51st Ave SE,Shoreline,WA,98155-0000,
299,SCHIRA CONSULTING,,CELT M SCHIRA,,1028 12TH ST,BELLINGHAM,WA,98225-0000,"Electrical design services (power, lighting, communications and photovolataics) informed by sustainable building expertise. We provide elctrical engineering for the built environment. We meet the clients’ goals and budget. Solid initial electrical design saves money in construction, operations, maintenance and future building reuse. Sustainably designed buildings are more energy efficient, have higher building rental and resale values, higher employee satisfaction, and better customer response."
300,BULK CARGO SERVICES & LOGISTICS INC.,,Darrell L Bryant,,15400 NE 103RD DR,VANCOUVER,WA,98682-1944,"Bulk Cargo Services & Logistics, Inc.(BCS&L) is a provider of domestic and international transportation and logistics services and has been in operation since 2011. We also provide sales and procurement services to city, state, federal government agencies as well as overland and ocean transportation and consultations services. BCS&L is federally licensed and bonded to perform these services. Our license allow us to provide freight forwarding services to the U.S. Military, USDA,USAID,GSA to name a few, and private sector as well, both domestically and internationally."
301,Pearson Drilling Inc,,Terri Trew,,5810 152ND ST NE,MARYSVILLE,WA,98271-7504,"Site Preparation Contractor, Highway, Street and Bridges Construction"
302,"FOOD SERVICES, INC.",,MELISSA SPRADLIN,Government contract manager,17889 MCLEAN RD,MOUNT VERNON,WA,98273-8791,"Food Services Inc. offers 4000 plus institutional line items.A complete line of (frozen,chill,dry) foods,small wares,kitchen equipment,cleaning supplies,paper products,all on hand in inventory.Our own fleet of delivery trucks.As well as will call service."
303,"Northwest Rock, Inc.",Northwest Rock,JASON MESSMER,PRESIDENT,642 Newskah Rd,Aberdeen,WA,98520-9535,"CONSTRUCTION/RECONSTRUCTION, AGGREGATE SUPPLY AND MANUFACTURE, ROAD MAINTENANCE, EQUIPMENT RENTAL."
