View,Name of Firm,Trade Name,unknown,unknown,Address,City,State,Zip,Capabilities Narrative
25,LMS CONSULTING LLC,LMSC RECRUITING,JESSE SHANE,,10816 NE 71ST CIR,VANCOUVER,WA,98662-4665,"LMS Consulting provides talent in the following areas:  * Health Care Recruiting  * Information Technology Recruiting  * Mechanical and Nuclear Engineering Recruiting  * Environnment, Health and Safety Recruiting"
26,"HOT MIX PAVERS, INC.",,ROGER  Clairmont,,4400 S 131ST PL,TUKWILA,WA,98168-3259,"Asphalt Paving, Asphalt Patching, Trench Patching, Grading, Excavating, Dump Trucking"
27,GASSMAN CONSULTING INC,,Thad Gassman,,7902 41ST W.,TACOMA,WA,98466-3123,Training and consulting services related to business arrangements conducted under the Federal Acquisition Regulation.
28,"Manning, Carl",Valley Mobile Washing and Steam Cleaning,CARL Manning,owner,4909 300th st nw,Stanwood,WA,98292-9681,"High pressure washer w/heat. Commerical to include prisons, schools, food service outlets. Clean all hood exhaust systems, dumpsters, buildings etc."
29,KENNYDALE REALTY,,Glenn Knowle,,1321 N 30TH ST,RENTON,WA,98056-2144,"Real Estate Brokerage. 25 years experience providing Real Estate services. Specializing in the listing, marketing, and sales of residential homes, condominiums, land, and multi-family properties. Experienced and knowledgable doing CMA's and BPO's."
30,"Zika, Jeffrey",AirGO Systems,Jeff A Zika,,10605 324th Pl SE,Issaquah,WA,98027-8737,UAV design and integration UAM Flight Training Flight Autonomy and See-And-Avoid UAM Flight Simulation
31,"HWWT, LLC",HAVE WATER WILL TRAVEL,Jonathan H LaCount,,34183 HAMILTON CEMETERY RD,SEDRO WOOLLEY,WA,98284-9077,"Have Water Will Travel is a trucking company that prides itself in transportation of Food Grade Potable drinking water. We service fire camps, FEMA disaster camps, homeowners that have no other water source, and all points in between. We are owned by a partially disabled US Navy veteran and currently employee fellow veteran drivers. Our company is faith based, with honesty, integrity and good old fashioned work ethic as our goals."
32,PROFESSIONAL MINORITY STAFFING,,JOHN  Sheppard,,10205 SE 185TH PL,RENTON,WA,98055-6499,Contracted to provide employment services for people with disabilities for the Social Security Administration. The Firm's services help Beneficiaries become self-sufficient and have no additional need for benefits from SSA.
33,"HIGH IMPACT DRONE SERVICES, INC.",,Richard D. Lomsdale,,9329 MILBURN LOOP SE,LACEY,WA,98513-3420,"High Impact Drone, Inc. specializes in aerial photography and videography for commercial, government, and private customers. We perform services for real estate, agriculture, construction, advertising, mapping and surveying, events, law enforcement support, search and rescue, thermal imaging, aerial inspections, and more."
34,"Cascade Fiber Services, Inc.",,David Pennington,,729 Vandercook Way Ste 280,Longview,WA,98632-4065,We are a privately-owned telecommunications business with over 35 years of experience. Cascade Fiber Services has a broad understanding of technology and business to provide our comprehensive solutions to our clients through customized services.
35,"Access Fire Protection Services, Inc.",,SHANNONGAIL  J. CHERNOFF,,7708 84th Ave Ct NW,Gig Harbor,WA,98335-5209,"Fire Suppression Systems Installation & Svc, FM-200-for computer rooms, UL-300-for commercial kitchens, Industrial Dry Chem Systems for Paint Booths ,Fire Extinguisher Sales and Service and Extinguisher Cabinet Sales."
36,"Denali 20020, LLC.",DENALI 20020,Darryl White,,66c Teleport Dr,Brewster,WA,98812-0000,USEI is an industry leader in major colo satellite communication services and can provide “dedicated” Project and Program Management. The site has a horizon profile that allows look angles to international and domestic satellites from 53°W to 188°W.
37,Vet Industrial Inc,,ISAAC HOLMES,,1234 CHARLESTON BEACH RD W,BREMERTON,WA,98312-4502,General Construction
38,Government Contracting Services LLC,GCS,Michael A Johnson,,2552 JEFFERSON AVE,TACOMA,WA,98402-1304,"Commercial & Institutional Building Construction, Facilities Support Services, Security Systems Services, Janitorial Services, Landscaping Services, Carpet & Upholstery Cleaning Services and Other Services to Buildings and Dwellings."
39,ADPRODUCTS LLC,AD MIrror Systems,Ronald Dolar,,2347 N Crestline St,Spokane,WA,99207-5097,"ADproducts LLC is comprised of six individuals, with a knowledge in product development in the business community. They are people that are known to think “out of the box,” when it comes to designing and creating something needed for consumers. They apply their various experiences and abilities into developing projects that work and last. Our products will make your life easier for many years. We strive to meet the needs of all age groups, from the young to seniors. Our projects are also designed, and manufactured, to meet the requirements and needs of individuals that have medical issues, or disabilities. When you purchase one of our products, or work with our team, remember our philosophy"
40,"BNL Technical Services, L.L.C. ",BNL Tech ,Wilson P Stevenson,Owner,3250 Port of Benton Boulevard,Richland,WA,99354-1670,"BNL Technical Services, LLC provides a broad range of Engineering, Technical Support, Safety, Health, and Environmental services. Short term, or long term, we are committed to providing quality services at the most cost effective and reasonable price."
41,CSK Communications Inc,,Dan  Stutzke,,7005 E DAY MT SPOKANE RD,MEAD,WA,99021-9044,"Complete engineering design, installation and maintenance of any type of communications systems, including wireless, CATV, networking, phones, security, CCTV, fiber optics. We supply complete documentation services using AutoCAD services."
42,"WARM PRODUCTS, INC.",,DAWN PEREIRA,,5529 186TH PL SW,LYNNWOOD,WA,98037-4325,"Manufacture of non-wovens cotton and polyester batting, wadding, and insulated shades."
43,"INTERIM TECH SOLUTIONS, INC",,Orvil (Jake) Jacobs,,161 HENLEY DR,PASCO,WA,99301-6130,"25 plus years experience at DOE facilities supporting Nuclear Safety and Licensing programs, System Engineering, & Technical Support: D&D activities and maintenance activities at DOE Rocky Flats (RFETS), Hanford Site, & Oak Ridge K25/K27 facility."
44,"NORTHWEST SANDBLASTING & PAINTING, INC.",,DENNIS  WELCHERT,,7431 SPURGEON CRK RD SE,OLYMPIA,WA,98513-5641,"We provide sandblasting, high pressure power washing, painting, and specialty coatings for ships, aircraft carriers, piping, elevated water tanks, dams, and much more."
45,Macnak Construction LLC,,TERENCE DEE KALAUOKALANI KING,,12802 Bridgeport Wy SW,Lakewood,WA,98499-3373,"General Contractor, concrete, framing, flooring, roofing, excavation, heavy construction, road, culvert, site preparation, debris removal, clearing, grubbing, industrial and residential building construction and remodel"
46,"Ronsons Design & Construction, LLC",RONSONS,Lucas  R Yonkman,,951 NE 21st Ct,Oak Harbor,WA,98277-2715,"General Contractor, Industrial, Commercial, Concrete, Site Work, Electrical, Mechanical, Carpentry, Pre-Engineered Steel Buildings, Structural Steel, Steel Erection, Modular Trailers, Modular Buildings, Alternate Energy, Wind Power, Solar Power"
47,VERSATILE DRILLING CONTRACTORS INC.,,JOHN C MARTH,,7201 Detroit Ave SW,Seattle,WA,98106-0000,
48,S & T WINDOW FILMS,,SHANE MILLER,Owner,17642 IRWIN ST SW,ROCHESTER,WA,98579-7524,"Our product is a superior security laminate that when applied to glass windows and doors forms a bond to provide a virtually impenetrable clear barrier, turning your glass into an invisible barricade,"
49,"ADVANCED TECHNOLOGY COMPUTERS, INC.",,ANDRE TYSON,Owner,824 GRIMES RD,BOTHELL,WA,98012-9636,"ATC,is a full service information technology systems integration company with core expertise in networking and information security. We provide Tier I, Tier II and Tier III help-desk services."
50,"Wickersham, George E CPA",,George E Wickersham,Owner,8409 W Entiat Pl,Kennewick,WA,99336-1624,"Auditing, Internal Review, Internal Control Assessments, Management Studies, Claim Evaluation, Cost Estimates, Information System Advisory, Management Advisory Services, Make or Buy Analyses, Forensic Accounting, Proposals, Audit, Contract Audit, FMFIA"
51,"Burris Enterprises, LLC",,David C Burris,,3907 SW Hinds St,Seattle,WA,98116-3435,Catering groups up to 500; On site mobile food services; contract food service.
52,"VINCENT & SON EXCAVATION, LLC",,RODNEY VINCENT m vincent,,1276 S PEACHCREST RD,KETTLE FALLS,WA,99141-8792,moving dirt or rock
53,D15 Family Inc.,,Thaveepho Douangaphaivong,,16008 30th SE Dr,Mill Creek,WA,98012-7830,"Providing general and office product procurement and delivery. Providing sign design, development and installation including large building signs, ADA signs, shipboard/vessel/aircraft signs, wall murals, building exterior murals, digital display systems, virtual presenters, holographic presenters, interactive kiosks, interactive windows, banners, floor decals, vehicle wraps. Providing promotional products and awards/trophies. Providing organizational productions."
54,ADVISOR TACTICAL PRODUCTS LLC,,Rick Campbell,,506 N SULLIVAN ROAD,SPOKANE VALLEY,WA,99037-8543,"Weapons and tactical products company specializing in sourcing, importing and exporting critical products. Manufacture of custom, OEM and private label products. Licenses with Army for official products."
55,"Pacific Northwest Equipment, Inc.",P N W Trucking,Mathew  P Thomas,Vice President,7701 S 200 St,Kent,WA,98032-1104,"Designs, builds, leases and sells new and used intermodal equipment e.g. marine cargo/storage containers, trailers, chassis, refrigerated containers, flats, flatracks, IMO tanks etc. Government/Military approved vendor"
56,Botanic Air Corp.,,Michael M McCarthy,,11010 NE 68th St Apt 622,Kirkland,WA,98033-7154,"On-site and on-going measurable reduction or elimination of volatile organic compounds (VOCs) and fine particulates/particulate matter, at commercial, industrial, and institutional buildings, employing phytoremediation, photocatalytic oxidation, UVC germicidal light, and cold plasma ionization, in portable and induct compact devices"
57,XRON ASSOCIATES INC,,JOHN D WILLIAMS,,703 COTTONWOOD LOOP,RICHLAND,WA,99352-3668,"Xron performs Environmental, Nuclear, Nuclear Safety, Remedial Action, CERCLA, RCRA, TSCA, DOE Cleanup consulting, Safety analysis, ISO 14001, Readiness review, Radioactive waste, Procedures, Policy, Program Development, and Environmental Assessments."
58,3 BROTHERS CONTRACTING INC,,Lawrence L Claflin,,6696 RICHARDS AVE SE,PORT ORCHARD,WA,98367-9029,"3 Brothers Contracting, Inc (3BC) is a full-service service-disabled veteran owned small business specializing in light industrial, municipality and government agency contract services. No job is too small or too big. We provide a broad range of high quality, responsive, responsible services and repairs to facilities and structures from painting, siding install and repair, pressure washing, window and door installations, and many other general services. Combined 60 years of experience in leadership, construction, contract services, and project management, with extensive experience in operations planning, surface preservation, repair, and refinishing. Demonstrated experience in business development, contract negotiations, construction project management and service delivery. Successful performance under numerous contracts culminating in the highest level of customer/client satisfaction. Experience in servicing city, state, and federal agencies as well as private and commercial entities."
59,"Lite-Check Fleet Solutions, Inc.",,Bob Blair,,301 N HAVANA ST,SPOKANE,WA,99202-4725,"Inspection for commercial trailers and tractors using software programs. Inspections include brakes, lighting, tires, and abs systems."
60,"Empirical Group LLC, The",,Steven A Walter,,802 2nd Street Seattle,Seattle,WA,98104-1548,"The Empirical Group is a business consulting and project management firm that helps companies develop strategies for growth, mitigate risk, reduce waste, and improve performance; we work with both government and civilian entities. We're experienced in most industries and we implement tailored made solutions from known methodologies to address your biggest challenges. Please visit our website for more information. www.empiricalgrp.com"
61,PACIFIC GHOST FORESTRY SERVICES INC,,Ryan Ferrill,,652 AALVIK ROAD,STEVENSON,WA,98648-6371,"forestry, timber, cruising, consulting"
62,"G AND C CONSTRUCTION, INC.",,GARY FITZGERALD,President,2321 NW 6th Ave,Battle Ground,WA,98604-4416,"General electrical contracting new construction, remodel and service. Telephone, Cat 5e, 6 cable local area network install, terminate and certification testing. Fiber optic cable premises install, terminate and certification testing."
63,"AirSide Solutions, Inc.",,RONALD A NELSON,,2222 W Valley Hwy N Ste 150,Auburn,WA,98001-1655,Provide Airfield Lighting and Navigation Supplies; Airfield Equipment Technical Support and Repairs. Lightning Protection and Grounding Supplies and Support. HDPE conduit supplies and support.
64,Arthur Jackson CTC Inc.,,Arthur Jackson Jr,,4708 87th St SW,Mukilteo,WA,98275-3220,"Supply onsite and online training in Health and safety, CPR, First Aid, and Remote and Wilderness Training. Provides the most complete safety training in First Aid, and CPR"
65,"ANDERSON'S FABRICATION, INC.",,Lionell P Anderson,Vice President,506 N GOLD ST,CENTRALIA,WA,98531-5120,"We can fabricate your metal parts using Shears, CNC Punch, Water-Jet, CNC Press-Brakes, from Sheet Aluminum, Stainless Steel, Copper, and Steel. We specialize in repeat type production. We offer a low overhead to keep pricing low."
66,T R S MECHANICAL INC.,,Ken Smith,,113 168TH ST S,SPANAWAY,WA,98387-8226,"We install and service all types of heating, ventilation, air conditioning, and refrigeration equipment. We specialize in the Tridium DDC system also known as Vykon, Honeywell Webs, etc."
67,WM. Winkler Company,,Brian J Winkler,,5516 N Starr RD,Newman Lake,WA,99025-8609,"Veteran Owned, HUBZone general contractor specializing in Concrete Construction including Streets, Roads and Bridges"
68,"Tahiru, Lukman",Malgu Suppliers,Lukman M Tahiru,,1120 205th St E,Spanaway,WA,98387-8543,Full service janitorial and cleaning business. Cleaning exterior and interior surfaces.
69,Dive Commercial International Inc,,Doris  M Ritter,Vice-President,19004 HWY 99,Lynnwood,WA,98036-5206,"Authorized and Certified Kirby Morgan Repair Technician. Equipment for specialized diving, surface supplied, for commercial, military, search and rescue, fire department, and scientific divers. DCI is a world-wide supplier where you'll find the equipment and products you need for your commercial diving operation. Backed by over 120 years of combined experience in the commercial diving and maritime industry, we pride ourselves in having the best customer service in the industry. Contact us if you have any questions, would like to request a quote or need information on any commercial diving equipment products."
70,Arcana Procurement Solutions LLC,Arcana Power Systems LLC,Thomas B Zegers,,12008 NE 62nd St,Kirkland,WA,98033-8439,"Arcana Procurement Solutions LLC dba Arcana Power Systems specializes in equipment for the electric utility industry. This includes transmission, overhead and underground distribution, substations, and generation. Core Competencies Cross arms and braces Insulators Power poles and supports Overhead arresters and supports Overhead switches, connectors, transformers, and voltage regulators Bucket trucks and digger derricks Generators Live line tools and equipment Differentiators Arcana Procurement Solutions LLC dba Arcana Power Systems has first-hand knowledge and experience in the electric utility industry. Our founder and CEO, Thomas B. Zegers, is an IBEW Journeyman Lineman with 18 years of experience. Having a Journeyman Lineman who understands exactly what the contracting officer needs is priceless and very unique."
71,"Mandeville, Berge & Box",MBB Architecture,Scott C Baumler,,1414 4TH AVE,SEATTLE,WA,98101-4600,"Architecture, Engineering, Planning, Interior Design, and Cost Estimating"
72,Renfro Electric LLC,,karl s renfro,,4704 238th St NE,Arlington,WA,98223-7272,
73,BRANCH MEDICAL LLC,,Samuel L Davis,,418 Pioneer St,Ridgefield,WA,98642-4512,"Branch Medical an experienced company serving the needs of laboratories equipment, reagent, consumable supply needs. We serve the needs of the reagent contract to support the care of veterans and military service members."
74,"Kel-Tech Plastics, Inc.",KELTECH,Deanna Keller,,3510 S Pine St,Tacoma,WA,98409-5703,"Covert and overt camera surveillance systems, create housings and assemble electronic components to work together. Wide format print capabilities, corporate re-branding, industrial tanks, and point of purchase displays for retailers."
75,Custard Consulting LLC ,,Susan  P Custard,,4205 SE 177th Ln,Vancouver,WA,98683-2902,Our Best Federal HR Solutions group can assist your organization in creating answers aligned with your organization’s business strategies and workforce plan.
76,"Armstead, Robert","Redmond Partners, Inc",Robert Armstead,,16461 SE 34TH ST,BELLEVUE,WA,98008-5845,"Redmond Partners was established to provide expert business services to government, and industry that equip industry to grow their capacity and enable government to provide services related to their mission.   These services are in management consulting; program development and evaulation; construction management; facilities construction, alteration and maintenance; program and project management; technical publications; procurement of goods and services; and small business consulting. The managing partner of Redmond Partners has thirty years with depth of expertise in a range of business areas that enable the firm to contract in one service area or across a range of service areas.  This breadth of knowledge assures value-added perspectives for business owners and government agencies."
77,"Thermal Imaging & NDT Applications, Inc. ",,John N Pace,,56804 N. Frazier Rd,Benton City,WA,99320-9687,Provide Infrared Thermography and Non-destructive Testing service and consultation.
78,"CONTINUANT, INC.",,Samuel Mosier,,5050 20TH ST E,FIFE,WA,98424-3437,"As a global managed services provider, Continuant is committed to achieving our customers' business communications objectives. From maintenance and support for legacy systems to managing complex unified communications solutions, Continuant provides service plans that deliver proven results along with an outstanding customer experience. We build long-lasting partnerships and collaborate with our customers to identify their unique needs, then work collaboratively to implement innovative solutions. We call it The power of choice®. Continuant has an unparalleled track record of service for over 20 years. Continuant has been serving the enterprise with OEM-independent managed services, maintenance, and support of voice and data systems. It has always been our mission to provide efficient, customer-focused, and cost-effective services to support voice and data equipment from multiple manufacturers."
79,SEATTLE BARREL CO,AL'S SEATTLE BARREL,LOUIE  SANFT,,4716 AIRPORT WAY S,SEATTLE,WA,98108-1721,Barrels and Drums
80,Atlas Construction Advisors LLC,,Ted Lukecart,,3713 Northpark Dr,Centralia,WA,98531-8846,General Contractor experienced in a wide range of Commercial and Residential construction. Wild fire support equipment and operation.
81,"LAW OFFICE OF JOHN K. MURPHY, INC., PS",LAW OFFICE OF JOHN K MURPHY,John K Murphy,,46819 SE 154th Court,North Bend,WA,98045-8853,Legal Education and Consultation
82,Technical & Assembly Services Corporation,TASC,Richard L Hirst,President,2222 N Pacific St,Seattle,WA,98103-9127,"Printed Circuit Board Assembly. Through hole and Surface Mount. Wiring Harnesses. Engineering and Design. Assembly Testing, trouble shooting, repair. Cable Assembly. Wire Harness Assembly. Electronic Prototyping. Sub Contract Electronics Manufacturing."
83,"SMOOTH MOVES, LLC",,Kenny Teasdale,,8514 W GAGE BLVD STE A,KENNEWICK,WA,99336-8108,"Full-service moving and storage company that can pack, store and/or transport goods intrastate and interstate."
84,Wave Design Group LLC,,Heather M Brooks,,418 North Kellogg St Ste B,Kennewick,WA,99336-4947,"Architecture, engineering, interior design and planning services for projects throughout the United States. Headquartered in Kennewick, Washington, we have provided services for auto dealerships; retail centers; office and business spaces; restaurants; industrial, medical, and food-processing facilities; and multi-family residential and mixed-use developments."
85,"SCANDIA BUILDERS, INC.",,SHARON  SARKKINEN,,11505 NE 279TH ST,BATTLE GROUND,WA,98604-9307,"Built 20,000 square foot home, unique specialty homes, large custom homes, commercial buildings to extremely high quality standards."
86,"Williams, Willie",Cabledout,willie e williams,,2019 Martin Luther King Jr Wy,Tacoma,WA,98405-3837,"Cabledout.com is California based Communications and Low Voltage Systems Contractor. We provide Sales, Installation and Service for Fixed and Portable Communication Systems, Consumer Electronics, Audio Visual, Security Cameras and Monitors, Data Storage, Computers and Tablets, WiFi and WLAN/LAN Network Equipment, Background and Foreground Music Systems, Public Address Systems and Cable/Satellite TV alternatives for Industrial, Commercial and Government entities."
87,Sustainable Floors Inc.,Sustainable Interiors,Dana  G Pittman,,5009 Pacific Hwy E Ste 7,Fife,WA,98424-3431,"We provide flooring like carpet, vinyl, hardwood, refinishing, rubber, LVP, tile, stair treads, etc certified payrolls, ARRA, LEED, etc"
88,CAPSEY CONSTRUCTION LLC,,Randell A Seymour,,171 E MOUNTAIN VIEW DR,ALLYN,WA,98524-9744,"As a Veteran that has been building, manufacturing and repairing cabinetry, to new construction of single family homes, I have been blessed with a very talented team of people that can produce and install your displays, custom cabinets and trim works and light construction needs."
89,TESLA ELECTRIC LLC,,Spencer A Tomlinson,,21809 96TH STREET E,BUCKLEY,WA,98321-9281,"Tesla Electric LLC is a commercial / industrial electrical contracting and service company. Our roots in the Pacific North West go back over 70 years. We pride ourselves on professionalism! This means everything including customer communication, job site cleanliness, safety, exceptional work quality, and follow up. We have a large number of repeat customers that call only us for all their service and construction needs. We routinely manage projects ranging from $2000 to $1,200,000. We are a small contracting company but have the structure, capital, and resources to tackle larger projects. We provide electrical support in the following areas: tenant improvements, new construction, lighting upgrades / retrofits, troubleshooting and service work, new / upgraded electrical service, panel changes, industrial facility changes, power drops, paint booths, tank lines, HVAC install, data centers, cnc machine install, equipment moves, etc."
90,VNM JV,,David Nishimura,,2926 6th Ave S,Seattle,WA,98134-2104,Providing general construction services.
91,"CATES & ERB, INC.",,Robert Erb,VICE PRES,602 S FERRY ST,OMAK,WA,98841-0000,"Road Construction, Excavation Work, Drilling & Blasting, Septic,Sewer,Water and Storm Drainage, WaterShed Protection and Maintenance, River Armoring, Bank Stabilization,Erosion Control,Fish Habitat Restoration,Instream structures,Stream diversions,Bridges"
92,"JKT Development, Incorporated",Jamestown Excavating,Kyle Johnson,"Senior VP, Construction Division",1033 Old Blyn Hwy,Sequim,WA,98382-7670,"general contractor, property management, maintenance preventive, predictive,recurring,testing,electrical, mechanical,HVAC,carpentry,remediation,technical publication,demolition,energy systems,fire prevention,telecommunication,document conversion,GIS"
93,"SuperTeams, LLC.",,Peg Drummond,,435 14th Street,Bellingham,WA,98225-6104,Leadership and Facilitation training for LEAN/Six Sigma and other CPI professionals. We provide the 'People Skills' for success in Process Improvement. We have trained over 2000 LEAN Black Belts to date.
94,Skookum Resource Management LLC,,Brian Beaulaurier,,115 Klickitat Ave,Lyle,WA,98635-9612,
95,"Saul Jr, Jerry John ",C & J Northwest Security ,Jerry J Saul,,12838 Morris RD SE,Yelm,WA,98597-9217,Certified Safe / Vault Technician / Inspector / Locksmith.
96,LYNCH JANITORIAL AND CLEANING,,Leslie Lynch,,36415 NE ELLIOTT RD,YACOLT,WA,98675-4914,"LYNCH Janitorial and Cleaning,LLC provides high quality, detail oriented commercial janitorial services including window washing and carpet cleaning. LYNCH Janitorial has 'green cleaning' service programs available."
