view,name_of_firm,trade_name,Owner,address,city,state,zip,description
13,PROFESSIONAL MINORITY STAFFING,,JOHN  Sheppard,10205 SE 185TH PL,RENTON,WA,98055-6499,Contracted to provide employment services for people with disabilities for the Social Security Administration. The Firm's services help Beneficiaries become self-sufficient and have no additional need for benefits from SSA.
14,Allstar Lighting L.L.C.,,Dewayne J Simpson,3723 Serene Way,Lynnwood,WA,98087-5204,"Lights Inc is a Full-Service Electrical Contractor. We service Commercial, State, and Federal facilities, with an emphasis on conservation through Energy efficient Lighting, Controls and Design. We are licensed in the states of WA and CA. We perform interior/exterior spot maintenance to full retrofits. 	Washington State Certified Electricians 	Transportation Worker Identification Credential (TWIC) card holders 	Apprenticeship Program with Construction Industry Training Council (CITC)  https://lightsinc.com"
15,Port Madison Enterprises Construction Corporation,,Scott George,15775 GEORGE LN NE STE 210,POULSBO,WA,98370-7888,"PMECC is a diverse general contractor specializing in three main divisions; residential and commercial site development, road and parking area construction, and residential and commercial sewer systems."
16,LANGUAGES TRANSLATION SERVICES,,DANIEL S Sabore,34726 31ST CT SW,FEDERAL WAY,WA,98023-3000,"We provide: Translation, Interpretation voice-over, type setting /DTP, technical Edition/proofreading, Localization, Film Subtitling, Research Interview in more than 300 languages. We also provide services in agriculture and natural resources."
17,"RORE, INC.",,GITA MURTHY,11505 Burnham Dr Ste 101,Gig Harbor,WA,98332-9173,"Woman owned, 8(a) certified, small disadvantaged business with capabilities in design-build construction, renovations, repairs, electrical, HVAC, airfield, control towers, CDC; and environmental remediation, geotechnical, haz mat management and disposal."
18,J. KEISER & ASSOCIATES LLC ,JKA ,Janette Keiser,15715 Virginia Point Rd NE,Poulsbo,WA,98370-8037,"Lean Consulting, Organizational Leadership Training, Train-the-Trainer, Lean Construction Principals, Contract Law"
19,SB Hotels LLC,,Dean Cordy,4600 Capitol Blvd SE,Tumwater,WA,98501-4417,"La Quinta Inns and Suites™ offers just what any traveler needs to wake up on the bright side. At La Quinta Inns & Suites, we know that travel can be challenging. That's why we're here to help both business and leisure travelers find their inner optimist."
20,J AND S LOGISTICS LLC,,Damion E Jiles Sr,16506 NE 14TH AVE,RIDGEFIELD,WA,98642-5641,"We offer janitorial services for your space, regardless of the size. We use eco-friendly (green) products that are non-toxic and safe for the environment. Our professional staff is properly trained to provide the customer with a level of service that is second to none. We do not work for a time, we work to a standard; leaving your space looking as if it were brand new. • Specializing in COVID-19 disinfecting and cleaning services • Provides top notch janitorial services using eco-friendly products • Disinfecting products are non-toxic, dries clean and leaves no odor • Properly trained in the application of COVID-19 disinfectant • Uses proper PPE when applicable  Areas of Expertise • We can provide all areas of needed services • Can provide on-going COVID-19 sanitization services • Can provide a one time deep clean of all work spaces or routine cleaning • partners with vendors necessary to complete any job • Servicing WA and OR"
21,"URBAN BUGGY LLC, THE","Urban Buggy Farm, The",DENNIS  T Comer,308 22nd Ave S Ste 101,Seattle,WA,98144-2260,"We are a distribution company, specializing in the procurement of personal protective equipment, cosmetics/beauty products, and some specialty food based products"
22,"RAMOS REFORESTATION, INC.",,Jose E Contreras,1760 MT BRYNION RD,KELSO,WA,98626-9545,"Ramos Reforestation Inc provides a complete forestry maitenance service including Pre-commercial thinning, Planting, Prunning, Hand Pilling, Brushing, PCT, less Fire Suppresion"
23,Ohno Construction Company ,,Michio M Ohno,9416 MLK Jr Way S,Seattle,WA,98118-5418,"Synthetic and natural turf athletic fields, synthetic and natural surface tracks, parks, campgrounds, landscaping, habitat restoration, underground utilities, parking lots, restroom buildings, baseball fields, soccer fields, football fields"
24,S.E.A. CONSTRUCTION LLC,,JOELLE  BUCKMAN,53 ELK CREEK RD,RAYMOND,WA,98577-9214,"Heavy civil construction, dump trucking"
25,"Newton Building & Development, LLC",NBD,ROGER Newton,1120 Pearl St,Bremerton,WA,98310-2838,"General contractor specializing in commercial and industrial construction, asbestos and lead abatement, and environmental remediation. Also performs tenant improvements, demolition, stucco, plaster and site work."
26,TOTEM JANITORIAL LLC,,DAVID STILTNER,401 54TH AVE E,TACOMA,WA,98424-2721,"Janitorial services for office buildings, including hard floor care (strip, wax and polishing) and carpet shampooing."
27,"Black Jett Logistics, LLC",,Jeff Jett,2367 Tacoma Ave S Ste C180,Tacoma,WA,98402-1409,
28,GN SQUARED CONSTRUCTION LLC,,Marquia Wooten,1535 24TH AVE,SEATTLE,WA,98122-3008,"GN Squared Construction LLC provides commercial and residential clean-up services dedicated to providing quality results with integrity and style. We offer experience in: Janitorial Duties, Final Construction Clean-Up, Tenant Improvements, Removal of debris, Floor Care and more. Our goal is to turn messy post-construction spaces into interiors that shine, delivering a level of professionalism that demands 100% satisfaction. Our energetic, eco-friendly approach is formed by close attention to detail, strong work ethic, and the ability to please the most exacting clients."
29,"ADVANCED TECHNOLOGY COMPUTERS, INC.",,ANDRE TYSON,824 GRIMES RD,BOTHELL,WA,98012-9636,"ATC,is a full service information technology systems integration company with core expertise in networking and information security. We provide Tier I, Tier II and Tier III help-desk services."
30,S T I Optronics Inc ,,Wayne D. Kimura,2647 - 151st Place NE,Redmond,WA,98052-5563,"LASERS, MAGNETIC INSERTION DEVICES FOR FEL/SYNCHROTRON RADIATION RESEARCH, FLOW/ENERGY TECHNOLOGY, RAMAN CELLS, HP RAMAN CONVERTERS, OPTICAL SYSTEMS/SCANNERS FOR LASERS, DROPLET/SINGLET OXYGEN GENERATORS, GAS/SPRAY CHEMICAL REACTORS, PARTICLE ACCELERATORS"
31,Coleman Public Relations & Consulting Firm LLC,,Kellen Coleman,3333 164th St SW Ste 1613,Lynnwood,WA,98087-3183,"Coleman Public Relations & Consulting Firm is a Full Service Firm specializing in Technology, Community outreach & Media relations. With experience in the United States and abroad."
32,"BELARDE COMPANY, INC.",Belarde Construction,John Belarde,20011 87th Ave Se,Snohomish,WA,98296-7971,"General contractor specializing in civil/structural concrete, surface repair, and highway signage. Belarde Company is the premier decorative concrete contractor in the Pacific Northwest. Specialty concrete work related to slip form construction PCC paving, structural concrete, architectural concrete, precast concrete, concrete finishing, concrete curb and gutter work, saw cutting, sand blasting, joint and crack sealing, membrane waterproofing, permanent and construction highway sign installation, mailbox installation, traffic control limited to guidepost installation"
33,"Amcore Construction, LLC.",,John A Adams,1233 Division St,Camas,WA,98607-1556,"Full Service General Contractor– Tenant Improvements for Federal Facilities, Hospitals, Health Clinics, Industrial and Institutional Projects. From demolition to buildouts we have performed at all levels with projects ranging from minor repairs to major remodels and complete building renovations. Experienced with Historical Preservation of Buildings and work on National Historic Sites. Mechanical Department focused on Pumps, Piping, Valves and Controls including Water/Wastewater Facilities. Minor Underground and Site-work. Certifications: Native American Owned."
34,Cayley Aerospace Inc.,,BISHNUJEE  SINGH,18830 38th AVE W,Lynnwood,WA,98037-7637,"Aircraft Engineering Design,Structural Analysis,Structural Testing,Aircraft repair and manufacturing services,Space Engineering,Software and Information Technology Support services,Mechanical Engineering services and support"
35,Generalsoft Corporation,,Abid Nasim,300 Lenora St Suite 440,Seattle,WA,98121-2411,"Ability to analyze technology requirements including integration and application development needs, including applications on specialty form factors, and converting the analysis/requirements into deployment artifacts such as software."
36,"Nvelup Consulting, Inc.",,Christopher R Barrios,19125 N. Creek Pkwy #120,Bothell,WA,98021-8000,"WE ARE CERTIFIED ORACLE AND MICROSOFT PARTNERS WHO PROVIDE THE FOLLOWING SERVICES: ORACLE AND MICROSOFT ERP, HYPERION EPM (ESSBASE, PUBLIC SECTOR PLANNING, FINANCIAL MANAGEMENT), BUSINESS INTELLIGENCE SYSTEM INTEGRATION SERVICES, EMPLOYMENT PLACEMENT AND RECRUITING SERVICES, HELP DESK TECHNICAL SUPPORT, PROJECT MANAGEMENT, MANAGEMENT CONSULTING, DASHBOARD AND REPORTING DEVELOPMENT"
37,Translation Solutions Corporation,,ROSA  CAPDEVIELLE,6485 Serenity Loop,Gig Harbor,WA,98335-5503,"Translation and Interpretation in over 160 languages, ASL, Braille, Desktop Publishing, 508 Compliance, Web Localization, transcriptions, 508 Compliance, Formatting, CART Services, etc."
38,"Wenaha Group, Inc.",,Denise Sweeden,"3711 Pacific Ave, Suite 301",Tacoma,WA,98418-7800,"Native American owned; OR MBE, DBE, ESB; with 46yrs in construction mgmt, consulting services, program mgmt; budgeting, architect & contractor selection; on-site project mgmt & inspection ensuring project on schedule/budget"
39,"C & I ENGINEERING, L.L.C. ",,STEPHANIE  Walther,369 Falconridge St,Richland,WA,99352-8913,"engineering of all disciplines, design, staff augmentation, cyber security, mods, and consulting services."
40,Pacific CM LLC,,Mike R Monteleone,2210 Hewitt Avenue Suite 403,Everett,WA,98201-3767,"Construction, project, & risk management consulting services for commercial and industrial industries including, highway, street, road, bridges, viaducts, airports terminals, high rise offices, infrastructures, and large scale renovations. Water, sewer, and pipeline quality control, inspections and risk management services. Professional management and development training for DBE, MWBE, and SBE firms in bid preparation, billing/invoicing,change order assistance, submittal process, scheduling/impact analysis, and workflow management."
41,"EXELTECH CONSULTING, INC.",,Santosh J. Kuruvilla,8729 COMMERCE PLACE DR NE STE A,LACEY,WA,98516-1325,"Project Management Studies Planning Site Civil Environmental Storm Sewer, Structural Seismic Retrofit ATFP D/B Design-Build RFP Documentation Construction Eng and Inspection NEPA NMFS USFWS ESA EPA VE QAQC Bridge Facilities Civil Design Drafting Graphics"
42,AVIATION SOLUTIONS INTERNATIONAL INC.,,MARK  BLEDSOE,1 37TH ST NW STE C,AUBURN,WA,98001-1715,-Procurement and Repair Administration -Inventory Acquisitions -Inventory Management -Consignment Sales Management -Aircraft and Engine Sales
43,Nvl Laboratories Inc,,SHAISTA  KHAN,4708 Aurora Ave N,Seattle,WA,98103-6516,"NVL Labs provides testing,sampling and inspections for hazardous building materials including but not limited to Asbestos, Lead, Heavy Metals, Mold, Silica, Cr6, TCLP and more. Idustrial Hygiene and Indoor Air Quality services."
44,"W Business Solutions, LLC","Trans Blue, LLC",David Wescott,18717 76th Ave W,Lynnwood,WA,98037-4111,"Transblue provides landscaping, janitorial, facility management, snow removal, asphalt services. We always happy to do our clients' project with the best possible quality. To provide unparalleled customer service, stability, attention to detail and accountability to all our clients, contractors, and employees. To bless those around us and live a high quality of life, and to help people wherever we can."
45,Comex Solutions LLC,,Jerry  Escobedo,4697 US Highway 97,Peshastin,WA,98847-9715,
46,"Emerald City Medical Staffing, Inc.",,JENNIFER  MINKS,6240 Tacoma Mall Blvd Ste 315,TACOMA,WA,98409-6819,"Emerald City Medical Staffing provides temporary healthcare professionals. These would include, Registered Nurses, Licensed Practical Nurses, Certified Nursing Assistants and Allied Health Professionals."
47,"Doyon Technical Services, LLC",,William Line,3450 S 344th Way Ste 100,Federal Way,WA,98001-5931,"Civil, Commercial, Construction Management, Controls, Demolition, Design/Build, Disinfection/Cleaning Services, Environmental, Excavation, Fire Suppression, General Contractor, HVAC, Historical Preservation, Intrusion Detection, Maintenance, Mechanical, Modular, Pipeline, Prefabricated, Radio Tower, Regulator, Remediation, Renovation, Roofing, Security Upgrades, Tenant Improvements, Utilities, Wastewater, Warehouse"
48,MARLES CORPORATION,AMAYA ELECTRIC,JOHN  AMAYA,2519 104TH STREET CT S,LAKEWOOD,WA,98499-8741,"GENERAL ELECTRICAL CONTRACTORS.ELECTRICAL WORK, GENERAL CONSTRUCTION, INDUSTRIAL BUILDINGS AND WAREHOUSES; GENERAL CONSTRUCTION/NON-RESIDENTIAL BUILDINGS, OTHER THAN INDUSTRIAL BUILDINGS AND WAREHOUSES; WATER, SEWER, PIPELINE AND COMMUNICATIONS AND POWER"
49,"Liberty Security LLC.""",,Casey Willis,10605 SE 261st Pl Ste D102,Kent,WA,98030-6747,"At Liberty Security LLC, your security is our personal responsibility. The trained professionals at Liberty Security LLC are certified to enforce security rules and regulations. We hold our ethics and standards to the highest levels. Our services are bonded and insured. You can rest assured that your property is safe when it is secured by our competent professionals. Liberty Security serves clients in many capacities. From protecting empty properties that are waiting to be sold, to guarding businesses day or night with on-site uniformed officers, we are dedicated to keeping our clients safe and secure."
50,"CSM, LLC",,Chris Fulton,10307 41st Trl SE,Olympia,WA,98513-9320,"CSM, LLC is responsible for the overall coordination of a project. CSM, LLC must first assess the project-specific documents (referred to as a bid, proposal, or tender documents). In the case of renovations, a site visit is required to get a better understanding of the project. Depending on the project delivery method, the contractor will submit a fixed price proposal or bid, cost-plus price or an estimate. CSM, LLC considers the cost of home office overhead, general conditions, materials, and equipment, as well as the cost of labor, to provide the owner with a price for the project. Contract documents may include drawings, project manuals (including general, supplementary, or special conditions and specifications),and addendum or modifications issued prior to proposal/ bidding ad prepared by a design professional, such as an architect. The general contractor may be the construction manager or construction manager at high risk."
51,"AMES International, Inc.",,Amy Paulose,4401 Industry Dr E Bldg A,Fife,WA,98424-1832,"Manufacturer of Chocolate, Nuts and Snacks"
52,"Environmental Abatement Services, Inc.",,CATHERINE D MARQUEZ,18365 W Lincoln,Mount Vernon,WA,98273-3133,"EAS specializes in the removal and disposal of asbestos containing materials and lead paint in accordance with lacal, state and federal regualtions."
53,CloudCasters,,MICHAEL J Vejar,7113 NE 148th Ct,Vancouver,WA,98682-4519,"Manufacture Mobile Voice and Wireless Data Solutions. Deployments for and in disaster areas, fires zones, or large public areas requiring fixed or temporary Hi-Speed Satellite internet feeds for first responders or the public"
54,ARDOR BRIO COMPANY LLC,,Derek L Moon,4458 51ST AVENUE SW,SEATTLE,WA,98116-4029,"Contract web development services, specializing in customized and highly functional Wordpress & Drupal Content Management Systems."
55,"Llacer,Sonya",,Ryan  Slaughter,407 Valley Ave NE Apt J-303,Puyallup,WA,98372-6912,"Teaching, Training, Leadership Development, Coaching, Languages, Communication, Speech, Professional Development"
56,ROLLUDA ARCHITECTS INC,,Alex E Rolluda,105 S MAIN ST STE 323,SEATTLE,WA,98104-2526,"Service provided: Architecture, Interior Design, Programming, Master & Space Planning, Historic Preservation, Restoration, Project Mgmt, Const. Contract Admin, Feasibility Studies, BIM, VE, Constructability Review, Bldg Envelope Analysis, Facilities Study"
57,Wave Design Group LLC,,Heather M Brooks,418 North Kellogg St Ste B,Kennewick,WA,99336-4947,"Architecture, engineering, interior design and planning services for projects throughout the United States. Headquartered in Kennewick, Washington, we have provided services for auto dealerships; retail centers; office and business spaces; restaurants; industrial, medical, and food-processing facilities; and multi-family residential and mixed-use developments."
58,"Checker's Auto Body, LLC",,Williams Garcia,1122 ABADIE ST,WALLA WALLA,WA,99362-5506,Auto Body Repair Collision Repair Auto Parts Replacement Glass Replacement
59,"Moyer Construction, Inc ",,JANICE K MOYER,5583 Ford Wellpinit Rd,wellpinit,WA,99040-0000,Handle most general contracting responsibilities for building and road construction projects. You will see no bonding because of location on the Spokane Indian Reservation. I do have liscense bonding.
60,Sigma Operational Services LLC,,COREY R White,16808 NE 11th ST,Vancouver,WA,98684-6403,Sigma Operational Services is a commercial/industrial construction company that provides program and project administration services.
61,Washington Contractor Services LLC,,Edwin Lansang,6204 96th St E,Puyallup,WA,98371-6174,"Washington Contractor Services LLC (WCS) is a full service general contractor specializing in facilities support, property and grounds maintenance, and full construction. WCS also provides installation services on a wide variety of services including but not limited to: electrical, painting, siding, drywall, appliances repair, floor tile, windows, doors, and hardware. Experience with working on commercial, military, and other Government sites."
62,BSG Solutions LLC,,Muthusamy Gurusamy,1411 4th Ave Ste 1000,Seattle,WA,98101-2259,"BSG Solutions LLC is a Management consulting firm that provides its clients with customized solutions to its business problems. BSG Solutions combines expertise in Program Management, IT Strategy, Business Analytics, and Business Process Improvement areas to deliver practical solutions. BSG consultants will guide you through strategy development, implementation, project execution approaches, as well as how to deal with typical challenges and avoid common pitfalls. With proficiencies that range from data warehousing, data modeling, sales forecasting, and predictive analytics, We deliver advanced analytics services with accurate forecasting models. Our professional team has the experience, and in-depth technical skill set to develop, manage, and execute on program management, business systems, website, and application development that will achieve measurable business outcome."
63,"SEALX, L.L.C.",,Jaz Singh,11316 NE 116TH CT,VANCOUVER,WA,98662-3250,"We provide stone laminating surface protection and sealing services for stone, concrete, wood, tile and grout. Our best-in-market sealants are premium water and oil repellent, protects surfaces and keeps it looking new long term. Our unparalleled stone laminate is made of anti-etch, stain-proof high tech polyester and provides a long product life."
64,"Elyon International, Inc.",,CARMEN  NAZARIO,1111 MAIN ST Ste 405,VANCOUVER,WA,98660-2990,"ELYON International, Inc. is a full service technology and business solutions provider to government and Fortune 500 companies. We DELIVER IT solutions and specialized services that include Geospatial,Programatic Support and Professional Staffing,."
65,TRUEXPERIENCE MOBILE DETAILING LLC,Trufant Auto Detail,Marcus Trufant,1133 LAKE WASHINGTON BLVD N UNIT F511,RENTON,WA,98056-6496,"Since 2013 Trufant Auto detail has provided automobile detail service (mobile option included) using environmentally sustainable and safe solutions. Based in Renton Wa. Trufant Auto Detail has serviced individual customers from Seattle, Bellevue, Kirkland, Renton and Tacoma. Trufant Auto Detail also has serviced several car dealerships with a focus on new and used automobiles. Office buildings, business parking garages, and business fleets has been also been a mainstay for Trufant Auto Detail."
66,Generation Plastering LLC ,,Emmanuel Gonzalez,2326 W A ST,PASCO,WA,99301-4700,"Our founders have over 30 years of experience with: Stucco, Exterior Insulation Finish Systems (EIFS) and Masonry (CMU, Brick, Masonry Veneer). We can also do a variety of specialty Stucco and EIFS finishes."
67,ALDEN PLUMBING LLC,,Kirk A Alden,105 NEWTOWN ROAD,WALLA WALLA,WA,99362-8931,"Your full service Plumbing for Commercial, Residential and Industrial. We specialize on steam and hot water heat, medical gas, hydronic and/or stainless piping, sump pump, fire sprinkler main line, air lines, acid waste, water heater install and repair, sewage septic systems installer, pipe freezing to repair live water lines."
68,"ED'S BUILDING MAINTENANCE, LLC",,OUE T (ED)   IM,27419 8TH AVE S,DES MOINES,WA,98198-9311,JANITORAL and Landscape services
69,"Han Joe Ro, LLC",Comfort Inn,CHAMI J RO,1620 74th Ave SW,Tumwater,WA,98501-5751,"Lodging, hotel, motel, inn., per diem, Meeting room, training facility, conference, break out session, banquet room/hall/facility leasing or rental."
70,"Derian/OCC, a Joint Venture ",,Mark Jensen,12735 Willows Rd NE,Kirkland,WA,98034-8717,Heavy Civil and Industrial Construction
71,"Bristol Environmental Remediation Services, LLC",,Bill Burke,"1800 4th Street, Suite A",Marysville,WA,98270-5044,"Civil & structural engineering, civil & vertical construction, environmental remediation, fuel systems, range, and unexploded ordnance response throughout the US and select OCONUS locations. A spectrum of services for public and private sector clients."
72,All Project Solutions Inc,,Catherine Tang,4304 Sw Dash Point Rd,Federal Way,WA,98023-2140,"Project management, advising, coaching, engineering, training, inspections, testing, reorganization and development, surveys, strategic planning."
73,ECOBRIGHT MOBILE BLASTING LLC,,Denise L Haegele,8809 24TH AVE E,TACOMA,WA,98445-5809,"Our business provides a service for restoring multiple surfaces to original condition. The surfaces include: metal, concrete, wood, aluminum, steel, wrought iron, tile and fiberglass. We can remove paint, rust, barnacles, grime, epoxy, Bondo, chrome, vinyl, weather build-up, powder coating and Anti-fouling paint."
74,Kira Facilities Maintenance LLC,KIRA Environmental Consulting,Richard Rinehart,4208 198th St Sw Ste 104D,Lynnwood,WA,98036-6736,"KIRA Facilities Maintenance (KFM) has its core competency in providing customers and partners comprehensive services in construction and base operations. In addition to fulfilling a broad range of construction and operation needs, KFM also delivers environmental consulting and management and services according to quality environmental standards. Refuse and emergency debris removal, disaster waste collection services This includes but is not limited to site planning, due diligence, risk evaluation, permitting, remediation, and support for the management of environmental plans and programs for hazardous waste, asbestos and lead testing, cultural resource management, and incident investigation. KFM provides its services in compliance with government rules and regulations as it relates to air, soil, and water quality, and hazardous waste. KIRA offers its services to Federal and State Governments, and commercial and private customers."
75,Regal Enterprises Inc ,QSE Solutions ,Dean Lee,23112 NE 144th St,Woodinville,WA,98077-7223,"We customize quality assurance programs, documentation and training to meet safety, health and environmental compliance requirements. Our forte is organizing complex information into usable and workable formats."
76,"MEDPACS, LLC",,Sharon Wallace,6523 CALIFORNIA AVE SW STE 273,SEATTLE,WA,98136-1833,"Healthcare Support Services, IT Support and Consulting, Case Management, Picture and Archiving System Support (PACS), IT Infrastructure Management and Operation. Application Consulting and development"
77,"CW JANITORIAL SERVICE, LLC",CCW JANITORIAL SERVICES,Charmie C Walker,7116 Stinson Ave Ste A208,Gig Harbor,WA,98335-1100,"Our family owned company has been in the janitorial business since 2008. We provide full janitorial services including: VCT & wood floor maintenance, carpet cleaning, general office janitorial services and Post-Construction cleanup."
78,Systems Consulting LLC ,,Everette W Adams,1145 BROADWAY STE 605,TACOMA,WA,98402-3527,"Professional services, Life cycle costing, Overhead analysis, Project cost analysis,Quality Assurance and Control,Scheduling,Document Controls, Value Engineering, cost estimating, transportation, mass transit, rail, tunneling, waste water,transfer stations, landfill"
79,Macro-Z Technology Company,,BRYAN  J ZATICA,818 99TH ST E,TACOMA,WA,98445-3129,"Force Protection, Heavy Construction, Design Build, Channel Work, Pump Station, Roadways, Airports, Bridges, Structures, Buildings, Earthwork, Seismic Retrofit"
80,Jimale Technical Services LLC,JTS Manage Services,Tanya Jimale,2505 3RD AVE STE 300A,SEATTLE,WA,98121-1445,"Contract Administration; Document Controls and Project Administration; Office Engineering; Project Scheduling, Controls, and Reporting; Specialty Services: construction inspection; Scheduling including development, updating and reporting; Cost Estimation, cost engineering/control and value engineering; Risk Management; Earned Value Management and Earned Schedule, including Work Breakdown Structures (WBS); Records Management; and Diversity Performance Measurement and Oversight"
81,Horizon Trading and Investments LLC,,JARJU BAKARY,3717 196th St SW Ste 206,Lynnwood,WA,98036-5748,"We provide services in logistics, trucking, freight forwarding, air freight, supplies of industrial goods, supplies of lumber and timber, electrical supplies, construction, and durable medical equipment supplies."
82,"JOYCE KIRANGI, CPA, LLC",,Joyce Kirangi,10522 SE 206TH PL,KENT,WA,98031-1588,"Joyce Kirangi, CPA, LLC, principal owner, Joyce Kirangi, has over 20 years of cross-functional experience in government audits, accounting, and extensive knowledge in government operations. We have extensive experience working with government officials. We conduct our work in accordance with government auditing standards (Yellow Book), and applicable AICPA standards. Our service includes: pre-audit services, accounting and auditing services, special studies/analysis services/bookkeeping, internal controls and risk assessments, governance/strategic initiatives audits, and performance audits to determine effectiveness and efficiency of government programs. We conduct extensive compliance audits including: construction, concession, contract/vendor, special/fraud investigations, federal financial management assistance -Single Audits. We also provide advisory/management consulting services in various aspects of government operations - financials and operations."
83,"5 STARS LLC, THE","5 SHINING STARS, THE",Peter Nguyen,20135 18th Avenue Ct E,Spanaway,WA,98387-1864,
84,"LUMMI NATION CONSTRUCTION COMPANY, LLC",,MARIO GONZALEZ,2616 KWINA RD,BELLINGHAM,WA,98226-9291,"Commercial and Industrial Buildings, Design-Build, Demolition & Remodel, Tilt-ups, Office Buildings, Educational Facilities, Single & Multi-Family Housing, Maintenance, Construction Management, IDIQ Contracts, MATOC, Project Management, Cultural Resources"
85,Togioka Construction LLC,,Peggy Togioka,7605 67th Ave NW,Gig Harbor,WA,98329-6604,"Professional services for Government Contractors to include scheduling services (Primavera/Oracle, P6, Microsoft Project), contract administrator services and Federal Payroll services"
86,"JACKSON SMITH CONSTRUCTION, LLC",JACKSON SMITH CONSTRUCTION,Jeffery  L Smith,218 E 7TH ST,PORT ANGELES,WA,98362-6115,"Physical Security Specialist. Design/Install Blast walls, doors, windows, Secure Fit out."
87,DC Engineering Consulting Inc,,Douglas J Cabrera,15946 Woodbrook LN SE,Rainier,WA,98576-9670,Engineering services for the power industry. Energy management and monitoring systems design. Industrial control system designers. services onboard ships with USCG high voltage certified technicians
88,"MIKE MCCLUNG CONSTRUCTION CO, INC",,Steve McClung,15110 261ST AVE E,BUCKLEY,WA,98321-9697,
