View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1",City,State,Zip,Capabilities Narrative
16,"Polestar Technical Services, Inc.",,Kathleen  M Miller,,1933 JADWIN AVE STE 230,RICHLAND,WA,99354-5212,"Polestar Technical Services, Inc., specializes in project management, strategic planning and technical solutions for high-hazard facilities. Polestar has 25 years of corporate experience in nuclear operations and facility D&D and has developed proven processes to aid the cleanup and shutdown of high-hazard facilities. Our services cover the full scope of facility operations from commissioning to shutdown. Our value add is in focused efforts and proven strategies around a requirements-based assessment methodology, risk-based prioritization, detailed planning, and alignment of the organization and work processes and process improvement. This may include everything from organization structure, work process redesign, HR, procedures, and maintenance activities to conduct of operations, emergency preparedness and nuclear safety strategies."
17,Comex Solutions LLC,,Jerry  Escobedo,,4697 US Highway 97,Peshastin,WA,98847-9715,
18,COMMERCIAL COMPUTER SYSTEMS LLC,,Greg Scallon,,8788 NE 28TH ST,BELLEVUE,WA,98004-1610,"Design real-time embedded systems that meet 100% requirements with more speed, reliability and cost less. Use SIMPLEX simulation tools to synthesize performance before investing in code. Get the performance you demand, in less time and less cost. In just two weeks we can apply our methodology and deliver quantifiable proof of how your product will perform once built. Inexpensive investment in the front-end results in extensive savings in development time and resources."
19,BUBBERS LLC,BUBBERS JANITORIAL & GRAFFITI REMOVAL,DELTON JOHNSON JOHNSON,,12650 1ST AVE S STE C,SEATTLE,WA,98168-2617,"Commercial building janitorial/custodial cleaning, construction clean-up. Full service traffic control and flagging: Set-up, mobilize, execute and tear-down for construction projects, road work and highways. Anti-graffiti services including removal, cleanup, anti-graffiti coatings, graffiti preventative plans and monitoring."
20,"MORPAC INDUSTRIES, INC.",,William Buchanan,PRESIDENT,117 FRONTAGE RD N STE A,PACIFIC,WA,98047-1052,"ELECTRICAL MOTOR OPERATED VALVES, STEPPING MOTORS AND CONTROLLERS, WATER AND WASTE WATER CONTROL. Underground and submersible actuators, fail safe battery operated actuators. Powerline stringing machinery, Distribution switches."
21,TRANSNNOVATION INC,Thinking of You,Marcy Jaffe,,1213 Blaine St,Port Townsend,WA,98368-6505,"General Transit Feed Specification (GTFS), data management, on-line trip planning, user interface, software testing"
22,CRANE TECHNOLOGY INC,,Kim Hoffmaster,President,831 S 176TH ST,BURIEN,WA,98148-1548,"Manufacturing Crane service, sales and repairs. Upgrades and inspections."
23,Qualta Consulting LLC,,Naomi Dschaak,,7411 W Clearwater Ave Bldg C2,Kennewick,WA,99336-1683,Software development Computer programming
24,"ALL INTENTIONAL, LLC",All Intentional,Oluwatoyin A Aguda,,34811 31ST PL SW,FEDERAL WAY,WA,98023-3101,Provide information technology consulting service.
25,"Arnold, Barbara",ARNOLD SERVICES,Barbara Arnold,,4602 45TH AVE NE APT 386,TACOMA,WA,98422-4415,"Arnold Services offers customized computer training and technical writing services. We provide desk side, as well as classroom style computer training in the Microsoft Office and Adobe Products for all levels of users. Our staff includes several highly skilled trainers, enabling us to handle any size training assignment and run concurrent classes, if needed. The technical writing services include writing, editing, and formatting of technical manuals and procedures, such as construction, policy and project management manuals, and capital facilities plans."
26,ROYAL THRONE LLC,Royal Restrooms,Karen E Nelson,,19000 NE 42nd Ct,Ridgefield,WA,98642-8062,Leading provider of high quality portable luxury restroom and shower trailer rentals. Offering temporary or long-term restroom/shower rentals.
27,"COMENGAGE, LLC",,Rebecca Elmore-Yalch,,144 Railroad Ave Ste 222,Edmonds,WA,98020-4100,"Full service custom marketing research and public opinion polling, offering a community engagement technology platform allowing going access to a representative resident or customer community for ongoing qualitative and quantitative research."
28,"BRANDARIS, INC",BRANDARIS CONSULTING,Reed B Ferrin,,10401 98TH ST SW,LAKEWOOD,WA,98498-1805,
29,"New ERA Contract Sales, Inc.",New Era,Brenda Lindenberg,PRESIDENT,5838 S Adams St,Tacoma,WA,98409-2613,"CONSTRUCTION SUPPLIES, TOOLS, INDUSTRIAL PRODUCTS, SAFETY EQUIPMENT, MATERIAL HANDLING EQUIPMENT. CAN SUPPLY ALL MCMASTER CARR ITEMS FROM SAME SOURCES. CAN SUPPLY NSN, CID, FED, MIL AND ANSI SPECIFICATIONS."
30,All Project Solutions Inc,,Catherine Tang,,4304 Sw Dash Point Rd,Federal Way,WA,98023-2140,"Project management, advising, coaching, engineering, training, inspections, testing, reorganization and development, surveys, strategic planning."
31,Stoneking Design LLC,Stoneking Design,Rachel Stoneking,,15420 52nd Street E,Sumner,WA,98390-3114,Stoneking Design specializes in branding and print design. We do not handle printing and distribution of products.
32,"APS Survey & Mapping, Inc.",,Valerie A Ward,,13221 SE 26th St Ste A,Bellevue,WA,98005-4258,"Survey and Mapping, Hydrographic, GPS, and High Definition Scanning"
33,PLATEAU GEOSCIENCE GROUP LLC,,Mavis D Kent,,611 NW 5TH AVE,BATTLE GROUND,WA,98604-8059,"Geophysical surveys, ground penetrating radar, environmental investigation and remediation, landfill closure and monitoring, site investigation for property development or engineering projects, stormwater engineering and management, stormwater treatment design and installation, stormwater compliance, environmental permitting and compliance, environmental media sampling, database development and management, project management, small business certified subcontractor."
34,"JAYRAY ADS & PR, INC.",,Bethany Doane,,535 E Dock St Ste 205,Tacoma,WA,98402-4630,
35,CONFLUENCE ENGINEERING GROUP LLC,,MICHAEL  HALLETT,,517 NE 92ND ST,SEATTLE,WA,98115-2820,"Company focus is on drinking water supply, treatment, distribution system optimization, and regulatory compliance."
36,Britton And Associates PLLC ,,Antonio D Britton,,17914 112th Ave SE,Renton,WA,98055-6523,"Architeture and Engineer, Construction, Concrete, Landscape"
37,Watershed Garden Works Inc.,Watershed Garden Works,DIXIE A. EDWARDS A Edwards,,2039 44th Ave,Longview,WA,98632-5005,stream and wetland restoration for the Pacific Northwest. We are able to plant and maintain sites in the Pacific Northwest
38,"Industrial Constructors, Inc.",,Lydia McMillin,,8524 W Gage Blvd A285,Kennewick,WA,99336-8241,"general construction, industrial construction, commercial construction, remodel"
39,"Grenlar Holdings, Inc.",Grenlar Construction,Kalen Grenzebach,,16636 Simonds Rd Ne,Kenmore,WA,98028-4413,"Grenlar Capabilities: Excellent client satisfaction for general construction & construction management services. We specialize in commercial and industrial construction, design, design/build, tenant improvement, historical renovation, hospital, marine, environmental, site work, excavation, utilities, concrete, pre-engineered metal buildings or PEMB's (erect & supply), structural steel fabrication, wood framing, masonry, and communication services."
40,"C & I ENGINEERING, L.L.C. ",,STEPHANIE  Walther,,369 Falconridge St,Richland,WA,99352-8913,"engineering of all disciplines, design, staff augmentation, cyber security, mods, and consulting services."
41,Good Neighbor Handyman and Cleaning Services LLC,,Stephanie Roscoe,,8616 Ne 100th St,Vancouver,WA,98662-1914,"Property Restoration and Preservation Services, Environmental Services (including Abatement, Radon Mitigation, Mold Mitigation), General Contractor Repairs and Remodels."
42,LEEWENS CORPORATION,,KURT  WIESENBACH,,630 7TH AVE,KIRKLAND,WA,98033-5665,
43,"W Business Solutions, LLC","Trans Blue, LLC",David Wescott,,18717 76th Ave W,Lynnwood,WA,98037-4111,"Transblue provides landscaping, janitorial, facility management, snow removal, asphalt services. We always happy to do our clients' project with the best possible quality. To provide unparalleled customer service, stability, attention to detail and accountability to all our clients, contractors, and employees. To bless those around us and live a high quality of life, and to help people wherever we can."
44,"SNELL CRANE SERVICE, INC.",,Andy W Stone,,333 RONLEE LN NW,OLYMPIA,WA,98502-9241,"Operated Crane Rental, Rigging, Trucking"
45,TOTAL COMFORT SOLUTIONS LLC,,Terry R Hall,,2904 MELROSE ST,WALLA WALLA,WA,99362-9525,HVAC contractor
46,Western Detention Product Inc,Western Detention Products,Matthew  Knox,,3711 E DEER PARK MILAN RD,DEER PARK,WA,99006-9149,"We are a stocking distributor for Southern Folger Detention Equipment. We stock mechanical locks, electric locks, replacement parts, device motors, lock motors, lock solenoids, door hardware, etc. For more information, please visit our website at http://www.westerendetention.com."
47,"GRAM Northwest, LLC",GRAM NW,Suzanne M Bowles,,1201 JADWIN AVE STE 203,Richland,WA,99352-3431,"GRAM Northwest, LLC, located in Richland, Washington, was formed in January 2016 and was founded upon the legacy of GRAM, Incorporated (based in Albuquerque, New Mexico). With our client-focused culture, GRAM NW seeks to deliver quality services in the Northwest, providing clients with a broad range of technical expertise necessary for solving today's complex environmental problems. GRAM NW meets the criteria for a 'Small Woman-Owned Business' and a 'Small Business' in many of the federal classifications. GRAM NW has over 80 years of combined experience related to environmental consulting. The staff operates as a team, drawing on the experience of personnel to provide consulting and engineering services to our clients. GRAM NW is primarily comprised of geologists and hydrogeologists, environmental scientists and engineers, technical writers and editors, and project managers."
48,"S2M ENTERPRISES, LLC",,Sommer Teague,,2205 N Woodruff Rd Ste 9,SPOKANE VALLEY,WA,99206-4190,Manufacturer of prepared microbiological culture media under cGMP procedures with quality systems oversight.
49,JUAREZ GROUP LLC,,Mary Jo Juarez,,7777 HOLLY PARK CT NW,BREMERTON,WA,98312-1060,"Contract Assistance, training, mentoring, marketing, business development tribal and non tribal, large and small business, outreach events"
50,WEDDERMANN ARCHITECTURE PLLC,,Jennifer Weddermann,,2302 A ST,TACOMA,WA,98402-2912,"Weddermann Architecture, PLLC, is a ten-year old firm with diverse experience in architectural design. From concept through construction, Weddermann Architecture, PLLC, can lead any design team to successful completion of any type of building project."
51,"LISTEN AUDIOLOGY SERVICES, INC.",LISTEN,Amy Rae Johnson,,7008 153RD PL SE,SNOHOMISH,WA,98296-8620,"Listen provides mobile, onsite hearing testing and training to industrial companies. Our mobile testing units accommodate 6 employees every 15 minutes making the annual test requirement flow smoothly and efficiently. Listen provides all services related to hearing conservation including hearing tests, educational training, custom hearing protection, noise studies, and professional consulting."
52,ABC CONSULTING ARBORISTS LLC,,Daniel J Maple,,12402 N Division #294,Spokane,WA,99218-1930,"All Arboricultural Consulting, Risk Assessment, Inventory, Drone Services, Management Planning, Expert Witness, Pest Management, Plant Healthcare Tree Removal."
53,Danasco LLC,,Dana Palmer,,1013 Meridian Ave E,Edgewood,WA,98371-1065,"Concrete & Asphalt Cutting, Core Drilling"
54,"YAKIMA WORKER CARE, PLLC",,Julie Palmandez,,409 S 12TH AVE,YAKIMA,WA,98902-3114,"Injured worker medical treatment, employment physical exams, drug and alcohol testing, DOT/NRCME certified examiners and collectors"
55,"Brouwer, Mamie S",SkyView Environmental,Mamie S Brouwer,,2807 Sw Dakota St,Seattle,WA,98126-2529,Specialized expertise in environmental and civil engineering construction project and program management and disaster response and preparedness.
56,"RJS Construction, Inc.",,Shannon Sevigny,,1618 B Rudkin RD,Yakima,WA,98901-4030,"Design-build general contractor; 30 years' experience; 94% return clients; new and renovations ranging $1k-$10M; self-perform carpentry, civil, painting, electrical; completed projects throughout the United States"
57,Olympic Organics LLC,,Jeffrey  West,,7890 NE ECOLOGY RD,KINGSTON,WA,98346-7652,"Olympic Garden Compost is produced using local residential and commercial yard waste, prunings, grass clippings, manure, as well as commercially collected food waste."
58,"True North Land Surveying, Inc. ",,Eileen  Forrester,Vice President,815 S Weller St Ste 200,Seattle,WA,98104-3023,Land Surveying Firm with experience in all aspects of construction surveying and land surveying
59,CLICK-CONSULTANTS LLC,,Karen McNamara,,10426 LEEWAY AVE NW,SILVERDALE,WA,98383-8804,"Provide Leadership Development Training, Communications Strategies, Incorporation of Generations and Diversity for desired outcomes, Classroom Management Strategies, Motivational Key Notes, Team Building, Strategic Planning Workshops"
60,Stronger International Inc.,,Heather Stratford,,400 S Jefferson St #319,Spokane,WA,99204-3142,"We provide high quality, customized, information technology and cyber security training and services worldwide.  We specialize in risk, security and compliance: strategic, analytical, and technical risk management and cyber security services in the areas of security and privacy program management and governance. We empower organizations to create stronger, more efficient and more cyber secure cultures. Cybersecurity is our core focus, we offer on-site, live-remote, and virtual trainings for cyber security and other IT certifications. •Combine technical and analytical talent and tools on delivery teams to create greater value, results and customer benefits •Highly trained and certified instructors with military and civilian experience •Proven past performances with civilian and defense agencies and commercial companies •Hands-on labs and cyber security training programs •Trainers with security clearance"
61,"Mahmood, Ibtihal ",,Ibtihal R Mahmood,,6916 Columbia Ct,Everett,WA,98203-5431,"Arabic <> English translation and interpretation, legal translation, medical interpretation, localization, globalization, intercultural communication, QA testing, research, writing, editing, proofreading, desktop publishing, copy editing"
62,"Zetterberg, Polly",ZetterbergEditing,Polly Zetterberg,,4232 48TH AVE S,SEATTLE,WA,98118-1415,"Evaluation, copyediting, proofreading of any written text; priorities are clarity for the reader/user, concise wording, correct spelling, grammar, punctuation, polished documents ready to show information and credibility of author(s)."
63,"Professional Leadership Results, Inc.",Libby Wagner & Associates,Elizabeth Wagner,,5219 erskine Way Sw,SEATTLE,WA,98136-1151,"Libby Wagner & Associates’ expertise in leadership development, strategy, management training, conflict resolution, and executive team development inspires organizations to create Profit Culture environments and sustain changes for the future."
64,"Aggregate Analytics, Inc.",,Andrea Skelly,,172 Golden Gate Ave,Fircrest,WA,98466-7412,"The Aggregate Analytics, Inc. research team, formerly the Evidence-Based Practice Division of Spectrum Research, Inc., has over a decade of experience in performing health technology assessments, comparative effectiveness reviews and systematic reviews for a variety of clients including the Washington State Health Technology Assessment Program (HTAP) and Agency for Healthcare Research and Quality (AHRQ) and academic clinical organizations. Our reports have been used by payers, such as local CMS administrators, for their benefits determinations, have informed design and execution of clinical research and been used as the basis for clinical practice guidelines. Reports range in scope and have covered a broad array of clinical topics."
65,"FREEDOM TOURS NW, INC.",,Armando Miranda,,166 ALLMAN RD,WINLOCK,WA,98596-9314,provide transportation and Services to tourist attractions. Sports. Venues. Theaters. National Parks all over the US
66,PACIFIC MEDICAL SYSTEMS INC,,DOROTHY NOWIK,,1407 132ND AVE NE #10,BELLEVUE,WA,98005-2259,"Our mission is to meet the home health care needs of patients by providing the highest quality medical equipment, supplies, and services. We respect the rights of patients and are dedicated to providing responsive, timely customer service."
67,Environment International Ltd,,Valerie Lee,CEO,9752 Lake Shore Blvd NE,Seattle,WA,98115-2647,"Environmental Management Systems, Brownfields Site Assessment, Regulatory Compliance, Risk Assessment, Natural Resource Management, NRDA, Facilitation, Remedial Design/Oversight, Mediation, Environmental Law, Community Outreach, Sustainable Development, Pollution Prevention, International Development, International Law, Institutional Capacity Building, Strategic Planning, Training, Legal Strategy"
68,"Tomas Vrba Studio, LLC",,Allison Vrbova,,1481 E Axton Road,Bellingham,WA,98226-9710,"We design and construct sculptures out of wood, metal, and stone. This includes public art, interior art, and exterior art."
69,"KNAPP, DENISE D",,DENISE  D KNAPP,,11245 1ST AVE NW,SEATTLE,WA,98177-4701,"Mediation, facilitation, conflict coaching, training"
70,"Seals, Tawnee",Merry Maids,Tawnee Seals,,1718 N PINE AVE,WENATCHEE,WA,98801-1135,
71,"Five Rivers Construction, Inc.",,Lisa M Stevenson,President,1381 Industrial Way,Longview,WA,98632-1017,"Wood frame bldgs, PEMB, Concrete/steel bridges,bridge repairs, marine docks/walkways, structural concrete, new commercial bldg and remodels, multi-plate culverts, industrial maint, retaining walls"
72,"B & P Consort, Inc. ",,Pam Guardino,President,14839 Nw Goldfinch Ln,Seabeck,WA,98380-9123,"Provides a diverse list of supplies for the federal government (electrical supplies, plumbing supplies, safety supplies, apparel, gages, motors, railway products, hard to find items, items mfg to Mil-Spec"
73,"NET Services, LLC",,DAN NUNN,,13010 11th Ave NE,Marysville,WA,98271-6751,"Netting installation contractor; design, installation, repair, & replacement of protective / barrier netting systems for golf courses, driving ranges, baseball fields & batting cages, soccer/lacrosse arenas, ponds, bird netting, and landfill containment."
74,Unique Experience Custom Emb Inc,Unique Experience,RONALD  D FLEMISTER,Owner/Manager,623 N CALLOW AVE,BREMERTON,WA,98312-3903,"Custom Embroidery, Screen Printing, Sewing, and Advertising Specialies"
75,"Certified Calibration Service, LLC",CCS Calibrations and Validations,INEKE Wolff,,917 Industry Dr,Tukwila,WA,98188-3413,"Calibration and Validation. Temperature,Humidity, Pressure,Vacuum,Analytical,Dimensional Calibrations.Thermal Mapping. Temperature Uniformity Surveys. IQ,OQ,PQ environmental chamber qualifications. Thermocouple sensor sales and calibration"
76,Blue Lion Biotech LLC,Blue Lion Biotech,PAUL CONNOLLY,,28310 NE 63rd Lane,Carnation,WA,98014-9592,New and used analytical lab equipment and service
77,"Glacier Peak Technology, LLC ",EVOLUCID SOFTWARE ,LIN C FELTON,,"2612 Nw 201st Street, DP-1",Shoreline,WA,98177-2465,"Microprocessor, microelectronic system design and engineering, embedded system software and custom embedded software."
78,"Miller, Sarah Kathryn ",S.K. Miller Consulting ,Sarah K Miller,,610 H St NE,Auburn,WA,98002-4388,"Certified Emergency Manager with 20+ years government experience. Certified trainer and instructor. Extensive experience in disaster mitigation, response, and recovery, and preparedness planning and delivery. Certified IS0 22301 Lead Implementer, Certified IS0/IEC 27032 Cybersecurity Manager."
79,HPM CORPORATION,,Claire  Neville,"Manager, Contracts and Administration",4304 W 24TH AVE # 100,KENNEWICK,WA,99338-2320,"Professional consulting company specializing in providing services in the fields of Occupational Medicine, Industrial Hygiene and Safety, Environmental, Project Controls and Project Management."
80,EHB SUPPLY,,STEPHEN N BURTON,General Manager,10541 SIROCCO CIR NW,SILVERDALE,WA,98383-8801,To provide general equipment & parts and various speciality items & supplies as needed. Have capability to access multiple categories of items as needed by different end users. We specialize in finding what is needed at a competitive price.
81,Personal Best Services LLC,,William  L Kendrick,,29222 54th Pl S,Auburn,WA,98001-2157,"CAPS (Certified Aging in Place Specialist), CEO is MSM/MBA/PMP, non-owning members: Registered Nurse, Holistic Health Counselor, MS Psychology, Licensed Health Care provider"
82,"Strategic Contact Solutions Group, Inc",,John Dubay,,1520 E 37th Ave,Spokane,WA,99203-4104,"Locally owned and operated economically disadvantaged woman owned small business specializing in back-up and over-flow contact center services utilizing employees/remote employees, some with disabilities, to provide outbound/outreach, inbound support services, back office solutions and consulting services."
83,SMS CLEANING INC,SMS,Sang So,,8033 Pacific Ave,Tacoma,WA,98408-5826,"janitorial services, floor waxing, stripping, sealiing, carpet cleaning, window cleaning."
84,Advanced Technical Services Inc,,Nadia Ibrahimi,,8612 S 228TH ST,KENT,WA,98031-2449,"Advanced Technical Services NW, Inc. is a local, woman owned corporation. We offer a web based system so customers can access their calibration certificates at any time. Our services include Field technicians perform work at your facility, Environmentally Controlled Laboratory in Kent WA., Mobile Laboratory brings our dimensional capabilities to you. In addition to dimensional equipment, ATS specializes in temperature uniformities surveys, Rockwell hardness testers, calibration of force equipment including load cells, dynamometers and Universal Testing Machines. We also offer repair services for most of the equipment we calibrate. For more information, please visit our website at http://www.atsnwinc.com."
85,"Tube Art Displays, Inc.",Tube Art,WESLEY LUND,,11715 SE 5th St,Bellevue,WA,98005-3533,Fabrication and Installation of Signage
86,"Project Untaboo, Inc.",,Rachael Kim,,1411 4th Ave,Seattle,WA,98101-2249,"An early stage femtech innovating period care through alternative tampons and pads sold through travel/tourism channels (hotels, taxis, planes, buses, etc). With travel kits and locator app, consumers have access to appropriate products as they travel, save time, stress and embarrassment, and are empowered to make better decisions for their bodies and the planet."
87,SHARP EXCAVATION INC,,Angelina Sharp,,16316 W DENO RD,MEDICAL LAKE,WA,99022-8790,"Sharp Excavation provides services that include underground utility repair and install, Trench digging, water lines, sewer and septic tanks, backfilling, tree and grub clearing, road building, concrete sidewalks and driveways, hauling"
88,MOVHER LLC,,Sabrina Jones,,3427 W Northwest Blvd Unit A,Spokane,WA,99205-2178,"Movher LLC is a professional, state-licensed moving company for both the residential and commercial markets in Washington state and beyond. We provide professional moving, packing, unpacking, warehouse storage, shipping, receiving, distribution and cleaning services."
89,Wildrose Ltd ,Wild Rose Graphics ,Sean Runnels,,134 N Madelia St,Spokane,WA,99202-3020,"Promotional products and apparel company focusing on custom apparel, embroidery, awards, and ad-specialty items. Specializing orders small and large. Have provided as many as 50,000 custom shirts per event or campaign."
90,"Steele And Associates, Inc.",STEELE,LYNN STEELE,MKTG MGR,26112 Iowa Ave NE,Kingston,WA,98346-7634,"BODY COOLING VESTS AND GARMENTS, ALL TYPES OF SEWN GARMENTS. HEAT STRESS PREVENTION CLOTHING."
91,"Elyon International, Inc.",,CARMEN  NAZARIO,President/CEO,1111 MAIN ST Ste 405,VANCOUVER,WA,98660-2990,"ELYON International, Inc. is a full service technology and business solutions provider to government and Fortune 500 companies. We DELIVER IT solutions and specialized services that include Geospatial,Programatic Support and Professional Staffing,."
92,BANDA ENTERPRISES LLC ,Comfort Keepers ,Cindy Adkins,,"2958 Limited Lane NW, Suite B",OLYMPIA,WA,98502-4577,"Olympia provides in-home personal and companion care to elderly and disabled persons in their own home or alternate living situation under a formally established and mutually agreed-upon Plan of Care. The services provided under the Plan of Care directly provide for the needs of our clients that will allow them to remain in their home, whereas without these services, the individuals would unlikely be able to remain in their own home. Our guiding philosophy is to enrich the lives of our clients through a system of Interactive Caregiving, wherein the client actively participates in his/her own care, thereby providing the stimulation that all people need to enjoy a meaningful and fulfilling life."
93,"A.L.S. AMERICAN LANDSCAPE SERVICES, LIMITED LIABILITY CO.",,MICHELLE Karrer,,8836 Steilacoom Rd SE,Olympia,WA,98513-1744,"All aspects of landscape maintenance, landscape construction, installation and landscape renovation. Irrigation maintenance and installation; Cross-Connection / backflow testing, repair and installation. Tree removal. Site preparation, excavating and brush clearing. Water features, ponds, pumps and fountains. Deicing and snow plowing and removal."
94,"Saltchuk Resources, Inc.",,Todd  Cooley,,450 Alaskan Way Ste 708,Seattle,WA,98104-2785,Holding company
95,"Winter, Misty",Iron Creek Earthworks,Misty R Winter,,8962 A Tinker Lp,Moses Lake,WA,98837-3117,"foundation excavation, concrete prep, underground utility repair or installation for buildings, housing developments or single homes, non hazmat demolition"
96,"Pinnacle Professional Services, P.S.",,SANDRA BREWER,,920 N Argonne Rd Ste 200,Spokane,WA,99212-2796,"All forms of investigation including criminal history research, background investigation, administrative and criminal investigations, asset searches, professional license verifications, employment and education verification"
97,HI GRADE ASPHALT & SEAL COAT INC,High Grade Constructions,ENID DUNCAN,,113 Meridian Ave E,EDGEWOOD,WA,98371-1029,"HiGrade Contruction Asphalt is a paving contractor servicing all of Washington. We specialize in custom projects, large and small, ranging from vast roads and parking lots to private driveways and sidewalks. With over 30 years of experience, flexible scheduling and free estimates at no obligation, you can rest assured HiGrade will perform excellently to meet your needs. We have offices in Edgewood WA and Ocean Shores WA. It is our goal to provide the best product for the best price and meet customer satisfaction!"
98,"Llacer,Sonya",,Ryan  Slaughter,,407 Valley Ave NE Apt J-303,Puyallup,WA,98372-6912,"Teaching, Training, Leadership Development, Coaching, Languages, Communication, Speech, Professional Development"
99,AGREEMENT DYNAMICS INC,,Rhonda Hilyer,,18410 16TH AVE NW,SHORELINE,WA,98177-3310,"Labor relations training and consulting, negotiations training and facilitation, communication training, multi-party negotiation facilitation"
100,"CONTROL TECHNOLOGY, INC",CONTROL TECH,VERN Braly,President,12817 NE 126TH PL,KIRKLAND,WA,98034-7721,"Providers of automated equipment, tooling, robotic equipment, and testers. Providers of electrical and controls engineering services. Designers and builders of electrical and control systems. Fabricators of ANSI/UL 508A electrical or control panels."
101,"Kulczyk, Beverly ",Kulczyk Family Bronze Sculptures ,BEVERLY  KULCZYK,,323 Cedar Creek Ter,Ione,WA,99139-0000,Sell bronze sculptures
102,GSPA L.L.C.,Dynamic Underwater Construction Services,Sherry L McPherson,,10616 13th Ave Ct S,Tacoma,WA,98444-2704,Dynamic Underwater Construction Services (DUCS)
